Freq.	V(out)
1.00000000000000e+002	-2.11644037425916e+001
1.25892541179417e+002	-1.91646757596898e+001
1.58489319246111e+002	-1.71651068428461e+001
1.99526231496888e+002	-1.51657899759830e+001
2.51188643150958e+002	-1.31668724490167e+001
3.16227766016838e+002	-1.11685875007773e+001
3.98107170553497e+002	-9.17130428829154e+000
5.01187233627272e+002	-7.17560662865073e+000
6.30957344480193e+002	-5.18241666159114e+000
7.94328234724282e+002	-3.19318801374311e+000
1.00000000000000e+003	-1.21020493070006e+000
1.25892541179417e+003	7.62960892066811e-001
1.58489319246111e+003	2.72076826990364e+000
1.99526231496888e+003	4.65472581312830e+000
2.51188643150958e+003	6.55206992635921e+000
3.16227766016838e+003	8.39418332489061e+000
3.98107170553498e+003	1.01551426908510e+001
5.01187233627273e+003	1.18013329099708e+001
6.30957344480194e+003	1.32936667208398e+001
7.94328234724282e+003	1.45938320446119e+001
1.00000000000000e+004	1.56740278604196e+001
1.25892541179417e+004	1.65261481622247e+001
1.58489319246111e+004	1.71647689276010e+001
1.99526231496888e+004	1.76218212093607e+001
2.51188643150958e+004	1.79366185140709e+001
3.16227766016838e+004	1.81468718472105e+001
3.98107170553498e+004	1.82836736822647e+001
5.01187233627273e+004	1.83701667262722e+001
6.30957344480194e+004	1.84222801480172e+001
7.94328234724283e+004	1.84501257121475e+001
1.00000000000000e+005	1.84592705982463e+001
