Freq.	V(out)
1.00000000000000e+002	-2.11222144738421e+001
1.25892541179417e+002	-1.91225320559842e+001
1.58489319246111e+002	-1.71230353421992e+001
1.99526231496888e+002	-1.51238328776597e+001
2.51188643150958e+002	-1.31250965862914e+001
3.16227766016838e+002	-1.11270986766780e+001
3.98107170553497e+002	-9.13026988696892e+000
5.01187233627272e+002	-7.13529117870243e+000
6.30957344480193e+002	-5.14323751824867e+000
7.94328234724282e+002	-3.15580191439579e+000
1.00000000000000e+003	-1.17564098977296e+000
1.25892541179417e+003	7.93100640600439e-001
1.58489319246111e+003	2.74401569650678e+000
1.99526231496888e+003	4.66733999455233e+000
2.51188643150958e+003	6.54852355039859e+000
3.16227766016838e+003	8.36662687597249e+000
3.98107170553498e+003	1.00930897387651e+001
5.01187233627273e+003	1.16920299628440e+001
6.30957344480194e+003	1.31237101279431e+001
7.94328234724282e+003	1.43521810976897e+001
1.00000000000000e+004	1.53554498000690e+001
1.25892541179417e+004	1.61331456180485e+001
1.58489319246111e+004	1.67066428236501e+001
1.99526231496888e+004	1.71115462500239e+001
2.51188643150958e+004	1.73874955509378e+001
3.16227766016838e+004	1.75703802699338e+001
3.98107170553498e+004	1.76887182282006e+001
5.01187233627273e+004	1.77632284304411e+001
6.30957344480194e+004	1.78079448573798e+001
7.94328234724283e+004	1.78316755106068e+001
1.00000000000000e+005	1.78392158585574e+001
