Freq.	V(out)
1.00000000000000e+002	-2.11644041301719e+001
1.25892541179417e+002	-1.91646763739857e+001
1.58489319246111e+002	-1.71651078164963e+001
1.99526231496888e+002	-1.51657915192570e+001
2.51188643150958e+002	-1.31668748952989e+001
3.16227766016838e+002	-1.11685913787712e+001
3.98107170553497e+002	-9.17131043675076e+000
5.01187233627272e+002	-7.17561637895234e+000
6.30957344480193e+002	-5.18243212893475e+000
7.94328234724282e+002	-3.19321256324747e+000
1.00000000000000e+003	-1.21024392743690e+000
1.25892541179417e+003	7.62898866601569e-001
1.58489319246111e+003	2.72066942276834e+000
1.99526231496888e+003	4.65456781968015e+000
2.51188643150958e+003	6.55181630719506e+000
3.16227766016838e+003	8.39377375766303e+000
3.98107170553498e+003	1.01544761328911e+001
5.01187233627273e+003	1.18002382874962e+001
6.30957344480194e+003	1.32918532201917e+001
7.94328234724282e+003	1.45908084137925e+001
1.00000000000000e+004	1.56689777622744e+001
1.25892541179417e+004	1.65177434302996e+001
1.58489319246111e+004	1.71508881759206e+001
1.99526231496888e+004	1.75991145025863e+001
2.51188643150958e+004	1.78998230702972e+001
3.16227766016838e+004	1.80877406476051e+001
3.98107170553498e+004	1.81893246193601e+001
5.01187233627273e+004	1.82205973143058e+001
6.30957344480194e+004	1.81867501856456e+001
7.94328234724283e+004	1.80821666461261e+001
1.00000000000000e+005	1.78903976574466e+001
