Freq.	V(out)
1.00000000000000e+002	-2.11644890130844e+001
1.25892541179417e+002	-1.91648108966801e+001
1.58489319246111e+002	-1.71653210013718e+001
1.99526231496888e+002	-1.51661293462322e+001
2.51188643150958e+002	-1.31674101937439e+001
3.16227766016838e+002	-1.11694394653320e+001
3.98107170553497e+002	-9.17265379983732e+000
5.01187233627272e+002	-7.17774355139112e+000
6.30957344480193e+002	-5.18579867407314e+000
7.94328234724282e+002	-3.19853618306416e+000
1.00000000000000e+003	-1.21865137345708e+000
1.25892541179417e+003	7.49648314561718e-001
1.58489319246111e+003	2.69985231732624e+000
1.99526231496888e+003	4.62202396113823e+000
2.51188643150958e+003	6.50131972384760e+000
3.16227766016838e+003	8.31629105971693e+000
3.98107170553498e+003	1.00374831608044e+001
5.01187233627273e+003	1.16274417572580e+001
6.30957344480194e+003	1.30437196053637e+001
7.94328234724282e+003	1.42458754260470e+001
1.00000000000000e+004	1.52048357342454e+001
1.25892541179417e+004	1.59095931458068e+001
1.58489319246111e+004	1.63661190144329e+001
1.99526231496888e+004	1.65884111173853e+001
2.51188643150958e+004	1.65871356350805e+001
3.16227766016838e+004	1.63622216724832e+001
3.98107170553498e+004	1.59029066648828e+001
5.01187233627273e+004	1.51952127858156e+001
6.30957344480194e+004	1.42333154528441e+001
7.94328234724283e+004	1.30284277499582e+001
1.00000000000000e+005	1.16097828429735e+001
