Freq.	V(out)
1.00000000000000e+002	-2.11644095963120e+001
1.25892541179417e+002	-1.91646850366266e+001
1.58489319246111e+002	-1.71651215443316e+001
1.99526231496888e+002	-1.51658132725796e+001
2.51188643150958e+002	-1.31669093623745e+001
3.16227766016838e+002	-1.11686459812629e+001
3.98107170553497e+002	-9.17139691528898e+000
5.01187233627272e+002	-7.17575328627804e+000
6.30957344480193e+002	-5.18264873179649e+000
7.94328234724282e+002	-3.19355490344325e+000
1.00000000000000e+003	-1.21078412359780e+000
1.25892541179417e+003	7.62048622515839e-001
1.58489319246111e+003	2.71933648434351e+000
1.99526231496888e+003	4.65249103897356e+000
2.51188643150958e+003	6.54861127373028e+000
3.16227766016838e+003	8.38889854244089e+000
3.98107170553498e+003	1.01472178371782e+001
5.01187233627273e+003	1.17897603830497e+001
6.30957344480194e+003	1.32773577996870e+001
7.94328234724282e+003	1.45718454170238e+001
1.00000000000000e+004	1.56458524682519e+001
1.25892541179417e+004	1.64918887570738e+001
1.58489319246111e+004	1.71251068777219e+001
1.99526231496888e+004	1.75777792104548e+001
2.51188643150958e+004	1.78892825471503e+001
3.16227766016838e+004	1.80971995109624e+001
3.98107170553498e+004	1.82324183213469e+001
5.01187233627273e+004	1.83178820051560e+001
6.30957344480194e+004	1.83693608356466e+001
7.94328234724283e+004	1.83968565267903e+001
1.00000000000000e+005	1.84058714543212e+001
