f	vin	scala	vout	scala
100	973.5	2000	91.66	500
165	973.5	2000	151.1	500
270	973.5	2000	243.4	500
440	973.5	2000	393.8	500
720	973.5	2000	630.8	1000
1180	973.5	2000	1019	2000
1930	973.5	2000	1631	2000
3160	963.3	2000	2573	5000
5180	953.2	2000	3875	5000
8480	948.2	2000	5322	10000
13900	917.8	2000	6536	10000
22750	907.7	2000	7219	10000
37280	892.5	1000	7472	10000
61000	882.4	1000	7295	10000
100000	826.8	1000	6637	10000
80000	862.2	1000	7067	10000
45000	892.5	1000	7446	10000
30000	897.6	1000	7396	10000
10000	933	2000	5774	10000
12000	927.9	2000	6211	10000
9000	941.8	2000	5483	10000
15000	919.1	2000	6648	10000
17000	916.6	2000	6903	10000
11000	931.7	2000	5993	10000
19000	916.6	2000	7013	10000

