Freq.	V(out)
1.00000000000000e+002	-2.11644771549981e+001
1.25892541179417e+002	-1.91647921027765e+001
1.58489319246111e+002	-1.71652912147824e+001
1.99526231496888e+002	-1.51660821370175e+001
2.51188643150958e+002	-1.31673353705446e+001
3.16227766016838e+002	-1.11693208744464e+001
3.98107170553497e+002	-9.17246583564943e+000
5.01187233627272e+002	-7.17744562241323e+000
6.30957344480193e+002	-5.18532642384669e+000
7.94328234724282e+002	-3.19778755549161e+000
1.00000000000000e+003	-1.21746447686969e+000
1.25892541179417e+003	7.51530414210109e-001
1.58489319246111e+003	2.70283768968861e+000
1.99526231496888e+003	4.62676139003000e+000
2.51188643150958e+003	6.50884215354278e+000
3.16227766016838e+003	8.32824586352057e+000
3.98107170553498e+003	1.00565019410222e+001
5.01187233627273e+003	1.16577315835506e+001
6.30957344480194e+003	1.30919964740555e+001
7.94328234724282e+003	1.43228058777760e+001
1.00000000000000e+004	1.53271991363882e+001
1.25892541179417e+004	1.61034182566180e+001
1.58489319246111e+004	1.66710441062575e+001
1.99526231496888e+004	1.70633300465064e+001
2.51188643150958e+004	1.73165722951319e+001
3.16227766016838e+004	1.74615970975397e+001
3.98107170553498e+004	1.75191288900884e+001
5.01187233627273e+004	1.74980692493607e+001
6.30957344480194e+004	1.73951110226379e+001
7.94328234724283e+004	1.71948545852515e+001
1.00000000000000e+005	1.68707431443119e+001
