Freq.	V(out)
1.00000000000000e+002	(-2.07508385139028e+001dB,-9.06739290851937e+001°)
1.25892541179417e+002	(-1.87511846510451e+001dB,-9.08484040822111e+001°)
1.58489319246111e+002	(-1.67517331849485e+001dB,-9.10680328322853e+001°)
1.99526231496888e+002	(-1.47526024107219e+001dB,-9.13444846494978e+001°)
2.51188643150958e+002	(-1.27539796845094e+001dB,-9.16924283205121e+001°)
3.16227766016838e+002	(-1.07561616221749e+001dB,-9.21302868947661e+001°)
3.98107170553497e+002	(-8.75961751665440e+000dB,-9.26811662829920e+001°)
5.01187233627272e+002	(-6.76508911404058e+000dB,-9.33739814019107e+001°)
6.30957344480193e+002	(-4.77374691709308e+000dB,-9.42447891372195e+001°)
7.94328234724282e+002	(-2.78743335755053e+000dB,-9.53382998459264e+001°)
1.00000000000000e+003	(-8.09036948663485e-001dB,-9.67094557159223e+001°)
1.25892541179417e+003	(1.15694226136027e+000dB,-9.84247946760342e+001°)
1.58489319246111e+003	(3.10356291131621e+000dB,-1.00562998145002e+002°)
1.99526231496888e+003	(5.02028357649537e+000dB,-1.03213467140281e+002°)
2.51188643150958e+003	(6.89148081308649e+000dB,-1.06470941182456e+002°)
3.16227766016838e+003	(8.69485760867253e+000dB,-1.10423260919413e+002°)
3.98107170553498e+003	(1.04003900858480e+001dB,-1.15129245103520e+002°)
5.01187233627273e+003	(1.19710903670426e+001dB,-1.20586340300164e+002°)
6.30957344480194e+003	(1.33672283217949e+001dB,-1.26695676439238e+002°)
7.94328234724282e+003	(1.45546841559391e+001dB,-1.33243933166201e+002°)
1.00000000000000e+004	(1.55151034228840e+001dB,-1.39925365810716e+002°)
1.25892541179417e+004	(1.62524427292672e+001dB,-1.46408275626963e+002°)
1.58489319246111e+004	(1.67914777264403e+001dB,-1.52416119125973e+002°)
1.99526231496888e+004	(1.71693298872201e+001dB,-1.57780504785546e+002°)
2.51188643150958e+004	(1.74254158623055e+001dB,-1.62447670925292e+002°)
3.16227766016838e+004	(1.75944189247888e+001dB,-1.66452201707402e+002°)
3.98107170553498e+004	(1.77033878223534e+001dB,-1.69881993651033e+002°)
5.01187233627273e+004	(1.77717229281554e+001dB,-1.72849897186408e+002°)
6.30957344480194e+004	(1.78124335832305e+001dB,-1.75476272616731e+002°)
7.94328234724283e+004	(1.78335936794851e+001dB,-1.77880711618580e+002°)
1.00000000000000e+005	(1.78394978763728e+001dB,1.79820270664346e+002°)
