Freq.	V(out)
1.00000000000000e+002	(-2.11644795267624e+001dB,-9.06915009424651e+001°)
1.25892541179417e+002	(-1.91647958618061e+001dB,-9.08705287598632e+001°)
1.58489319246111e+002	(-1.71652971725345e+001dB,-9.10958921757142e+001°)
1.99526231496888e+002	(-1.51660915796489e+001dB,-9.13795695016061e+001°)
2.51188643150958e+002	(-1.31673503366857e+001dB,-9.17366214970132e+001°)
3.16227766016838e+002	(-1.11693445956343e+001dB,-9.21859705858635e+001°)
3.98107170553497e+002	(-9.17250343484360e+000dB,-9.27513631082676e+001°)
5.01187233627272e+002	(-7.17750522225801e+000dB,-9.34625435673800e+001°)
6.30957344480193e+002	(-5.18542090611796e+000dB,-9.43566594190926e+001°)
7.94328234724282e+002	(-3.19793735700122e+000dB,-9.54798849427570e+001°)
1.00000000000000e+003	(-1.21770203884656e+000dB,-9.68891831704324e+001°)
1.25892541179417e+003	(7.51153550005358e-001dB,-9.86539797828852e+001°)
1.58489319246111e+003	(2.70223952812987e+000dB,-1.00857243142703e+002°)
1.99526231496888e+003	(4.62581124178927e+000dB,-1.03594969324374e+002°)
2.51188643150958e+003	(6.50733117221053e+000dB,-1.06972298837761e+002°)
3.16227766016838e+003	(8.32583920030196e+000dB,-1.11093558194709e+002°)
3.98107170553498e+003	(1.00526607915110e+001dB,-1.16043100459036e+002°)
5.01187233627273e+003	(1.16515864705140e+001dB,-1.21855687564589e+002°)
6.30957344480194e+003	(1.30821435554296e+001dB,-1.28481898059120e+002°)
7.94328234724282e+003	(1.43069859593245e+001dB,-1.35765573852591e+002°)
1.00000000000000e+004	(1.53018028679711e+001dB,-1.43457328385135e+002°)
1.25892541179417e+004	(1.60627350151192e+001dB,-1.51274384744774e+002°)
1.58489319246111e+004	(1.66061311804821e+001dB,-1.58983398542048e+002°)
1.99526231496888e+004	(1.69603325997482e+001dB,-1.66462266177065e+002°)
2.51188643150958e+004	(1.71543081939943e+001dB,-1.73714097823997e+002°)
3.16227766016838e+004	(1.72083032271935e+001dB,1.79160428749085e+002°)
3.98107170553498e+004	(1.71285757499550e+001dB,1.72011359283092e+002°)
5.01187233627273e+004	(1.69059800373008e+001dB,1.64693465533842e+002°)
6.30957344480194e+004	(1.65180666456640e+001dB,1.57119776979634e+002°)
7.94328234724283e+004	(1.59351418013966e+001dB,1.49307351812030e+002°)
1.00000000000000e+005	(1.51302645376032e+001dB,1.41398403493224e+002°)
