Freq.	V(out)
1.00000000000000e+002	(-2.11644095963120e+001dB,-9.06020276571832e+001°)
1.25892541179417e+002	(-1.91646850366266e+001dB,-9.07578920383294e+001°)
1.58489319246111e+002	(-1.71651215443316e+001dB,-9.09540978689867e+001°)
1.99526231496888e+002	(-1.51658132725796e+001dB,-9.12010748576089e+001°)
2.51188643150958e+002	(-1.31669093623745e+001dB,-9.15119376002532e+001°)
3.16227766016838e+002	(-1.11686459812629e+001dB,-9.19031652427319e+001°)
3.98107170553497e+002	(-9.17139691528898e+000dB,-9.23954417424540e+001°)
5.01187233627272e+002	(-7.17575328627804e+000dB,-9.30146831501132e+001°)
6.30957344480193e+002	(-5.18264873179649e+000dB,-9.37932703943626e+001°)
7.94328234724282e+002	(-3.19355490344325e+000dB,-9.47714820211605e+001°)
1.00000000000000e+003	(-1.21078412359780e+000dB,-9.59990644823015e+001°)
1.25892541179417e+003	(7.62048622515839e-001dB,-9.75367572193685e+001°)
1.58489319246111e+003	(2.71933648434351e+000dB,-9.94573539115943e+001°)
1.99526231496888e+003	(4.65249103897356e+000dB,-1.01845453597262e+002°)
2.51188643150958e+003	(6.54861127373028e+000dB,-1.04794360135159e+002°)
3.16227766016838e+003	(8.38889854244089e+000dB,-1.08397663506402e+002°)
3.98107170553498e+003	(1.01472178371782e+001dB,-1.12732343681281e+002°)
5.01187233627273e+003	(1.17897603830497e+001dB,-1.17831197528032e+002°)
6.30957344480194e+003	(1.32773577996870e+001dB,-1.23647521230886e+002°)
7.94328234724282e+003	(1.45718454170238e+001dB,-1.30025591293948e+002°)
1.00000000000000e+004	(1.56458524682519e+001dB,-1.36700437140033e+002°)
1.25892541179417e+004	(1.64918887570738e+001dB,-1.43343906822764e+002°)
1.58489319246111e+004	(1.71251068777219e+001dB,-1.49644032321568e+002°)
1.99526231496888e+004	(1.75777792104548e+001dB,-1.55376546210157e+002°)
2.51188643150958e+004	(1.78892825471503e+001dB,-1.60434490211103e+002°)
3.16227766016838e+004	(1.80971995109624e+001dB,-1.64815296103712e+002°)
3.98107170553498e+004	(1.82324183213469e+001dB,-1.68587508461602e+002°)
5.01187233627273e+004	(1.83178820051560e+001dB,-1.71858109569546e+002°)
6.30957344480194e+004	(1.83693608356466e+001dB,-1.74749791974584e+002°)
7.94328234724283e+004	(1.83968565267903e+001dB,-1.77388668132316e+002°)
1.00000000000000e+005	(1.84058714543212e+001dB,-1.79899511676044e+002°)
