Freq.	V(out)
1.00000000000000e+002	(-2.11644763641691e+001dB,-9.06426129115489e+001°)
1.25892541179417e+002	(-1.91647908493621e+001dB,-9.08089823526523e+001°)
1.58489319246111e+002	(-1.71652892281666e+001dB,-9.10184097942766e+001°)
1.99526231496888e+002	(-1.51660789882235e+001dB,-9.12820248721134e+001°)
2.51188643150958e+002	(-1.31673303794894e+001dB,-9.16138199036485e+001°)
3.16227766016838e+002	(-1.11693129627687e+001dB,-9.20313721796031e+001°)
3.98107170553497e+002	(-9.17245329300266e+000dB,-9.25567345294565e+001°)
5.01187233627272e+002	(-7.17742573492597e+000dB,-9.32175192779862e+001°)
6.30957344480193e+002	(-5.18529488243529e+000dB,-9.40481892827908e+001°)
7.94328234724282e+002	(-3.19773751105014e+000dB,-9.50915384389861e+001°)
1.00000000000000e+003	(-1.21738502545672e+000dB,-9.64002728191665e+001°)
1.25892541179417e+003	(7.51656674648691e-001dB,-9.80384564218546e+001°)
1.58489319246111e+003	(2.70303863361694e+000dB,-1.00082303058679e+002°)
1.99526231496888e+003	(4.62708190165718e+000dB,-1.02619297270431e+002°)
2.51188643150958e+003	(6.50935502281829e+000dB,-1.05743851294716e+002°)
3.16227766016838e+003	(8.32907017779242e+000dB,-1.09546768577064e+002°)
3.98107170553498e+003	(1.00578343477504e+001dB,-1.14095365869752e+002°)
5.01187233627273e+003	(1.16598991495098e+001dB,-1.19402983448587e+002°)
6.30957344480194e+003	(1.30955440660168e+001dB,-1.25393373694977e+002°)
7.94328234724282e+003	(1.43286353679628e+001dB,-1.31877010299878e+002°)
1.00000000000000e+004	(1.53367832016691e+001dB,-1.38563377181850e+002°)
1.25892541179417e+004	(1.61191236089893e+001dB,-1.45119564948743e+002°)
1.58489319246111e+004	(1.66966253284944e+001dB,-1.51252049181361e+002°)
1.99526231496888e+004	(1.71046970689616e+001dB,-1.56768287807502e+002°)
2.51188643150958e+004	(1.73829868965140e+001dB,-1.61592614323214e+002°)
3.16227766016838e+004	(1.75675144334765e+001dB,-1.65744776619575e+002°)
3.98107170553498e+004	(1.76869644950021e+001dB,-1.69305067622006e+002°)
5.01187233627273e+004	(1.77622091503467e+001dB,-1.72383954921901e+002°)
6.30957344480194e+004	(1.78074026455340e+001dB,-1.75102435925719e+002°)
7.94328234724283e+004	(1.78314397069447e+001dB,-1.77582152798770e+002°)
1.00000000000000e+005	(1.78391752005649e+001dB,-1.79942125981626e+002°)
