Freq.	V(out)
1.00000000000000e+002	(-2.11644771549981e+001dB,-9.06670569314571e+001°)
1.25892541179417e+002	(-1.91647921027765e+001dB,-9.08397555651370e+001°)
1.58489319246111e+002	(-1.71652912147824e+001dB,-9.10571510027123e+001°)
1.99526231496888e+002	(-1.51660821370175e+001dB,-9.13307972222110e+001°)
2.51188643150958e+002	(-1.31673353705446e+001dB,-9.16752207708701e+001°)
3.16227766016838e+002	(-1.11693208744464e+001dB,-9.21086715234906e+001°)
3.98107170553497e+002	(-9.17246583564943e+000dB,-9.26540490997509e+001°)
5.01187233627272e+002	(-7.17744562241323e+000dB,-9.33400319832595e+001°)
6.30957344480193e+002	(-5.18532642384669e+000dB,-9.42024254698473e+001°)
7.94328234724282e+002	(-3.19778755549161e+000dB,-9.52857139246677e+001°)
1.00000000000000e+003	(-1.21746447686969e+000dB,-9.66447324558443e+001°)
1.25892541179417e+003	(7.51530414210109e-001dB,-9.83462270159347e+001°)
1.58489319246111e+003	(2.70283768968861e+000dB,-1.00469790924724e+002°)
1.99526231496888e+003	(4.62676139003000e+000dB,-1.03107168981177e+002°)
2.51188643150958e+003	(6.50884215354278e+000dB,-1.06358146627635e+002°)
3.16227766016838e+003	(8.32824586352057e+000dB,-1.10320307238795e+002°)
3.98107170553498e+003	(1.00565019410222e+001dB,-1.15069523224396e+002°)
5.01187233627273e+003	(1.16577315835506e+001dB,-1.20629922427423e+002°)
6.30957344480194e+003	(1.30919964740555e+001dB,-1.26938827405757e+002°)
7.94328234724282e+003	(1.43228058777760e+001dB,-1.33823716054786e+002°)
1.00000000000000e+004	(1.53271991363882e+001dB,-1.41015283092509e+002°)
1.25892541179417e+004	(1.61034182566180e+001dB,-1.48206973694437e+002°)
1.58489319246111e+004	(1.66710441062575e+001dB,-1.55137891659290e+002°)
1.99526231496888e+004	(1.70633300465064e+001dB,-1.61655652405214e+002°)
2.51188643150958e+004	(1.73165722951319e+001dB,-1.67733432953397e+002°)
3.16227766016838e+004	(1.74615970975397e+001dB,-1.73449124628995e+002°)
3.98107170553498e+004	(1.75191288900884e+001dB,-1.78949714518374e+002°)
5.01187233627273e+004	(1.74980692493607e+001dB,1.75582668368310e+002°)
6.30957344480194e+004	(1.73951110226379e+001dB,1.69959198244690e+002°)
7.94328234724283e+004	(1.71948545852515e+001dB,1.64011390900134e+002°)
1.00000000000000e+005	(1.68707431443119e+001dB,1.57622287327461e+002°)
