time	V(vout)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
7.142857226329270e-009	-1.295479e-005	4.487989e-005
1.428571445265854e-008	-4.337118e-005	8.975979e-005
2.142857167898781e-008	-9.124916e-005	1.346397e-004
2.857142890531708e-008	-1.565888e-004	1.795196e-004
3.571428613164635e-008	-2.393899e-004	2.243995e-004
4.285714335797562e-008	-3.396527e-004	2.692794e-004
5.000000058430487e-008	-4.573771e-004	3.141593e-004
1.000000011686097e-007	-1.572265e-003	6.283185e-004
2.000000023372195e-007	-4.885788e-003	1.256637e-003
4.000000046744390e-007	-1.338778e-002	2.513272e-003
8.000000093488779e-007	-3.241368e-002	5.026527e-003
4.342857193608196e-006	-2.062319e-001	2.730129e-002
7.885714377867513e-006	-3.796060e-001	4.953830e-002
1.142857156212683e-005	-5.525358e-001	7.173754e-002
1.497142874638615e-005	-7.250215e-001	9.389901e-002
1.851428593064547e-005	-8.970629e-001	1.160227e-001
2.205714311490479e-005	-1.068660e+000	1.381087e-001
2.560000029916409e-005	-1.239813e+000	1.601568e-001
4.513125029916410e-005	-2.168767e+000	2.797830e-001
6.466250029916410e-005	-3.066446e+000	3.952008e-001
8.419375029916411e-005	-3.918002e+000	5.046746e-001
1.037250002991641e-004	-4.710628e+000	6.065575e-001
1.232562502991641e-004	-5.432402e+000	6.993172e-001
1.427875002991641e-004	-6.072467e+000	7.815586e-001
1.623187502991641e-004	-6.621198e+000	8.520446e-001
1.818500002991641e-004	-7.070339e+000	9.097151e-001
2.013812502991641e-004	-7.413136e+000	9.537025e-001
2.209125002991641e-004	-7.644433e+000	9.833454e-001
2.404437502991640e-004	-7.760752e+000	9.981979e-001
2.599750002991640e-004	-7.760341e+000	9.980366e-001
2.795062502991641e-004	-7.643208e+000	9.828638e-001
2.990375002991641e-004	-7.411113e+000	9.529079e-001
3.185687502991641e-004	-7.067547e+000	9.086193e-001
3.381000002991641e-004	-6.617679e+000	8.506643e-001
3.576312502991641e-004	-6.068275e+000	7.799145e-001
3.771625002991641e-004	-5.427598e+000	6.974341e-001
3.966937502991642e-004	-4.705285e+000	6.044636e-001
4.162250002991642e-004	-3.912199e+000	5.024014e-001
4.357562502991642e-004	-3.060271e+000	3.927826e-001
4.552875002991642e-004	-2.162313e+000	2.772560e-001
4.748187502991642e-004	-1.231833e+000	1.575592e-001
4.943500002991642e-004	-2.828248e-001	3.549254e-002
5.138812502991642e-004	6.704372e-001	-8.710793e-002
5.334125002991642e-004	1.613615e+000	-2.083982e-001
5.529437502991642e-004	2.532522e+000	-3.265540e-001
5.724750002991643e-004	3.413338e+000	-4.397981e-001
5.920062502991643e-004	4.242814e+000	-5.464272e-001
6.115375002991643e-004	5.008474e+000	-6.448376e-001
6.310687502991643e-004	5.698802e+000	-7.335490e-001
6.506000002991643e-004	6.303414e+000	-8.112271e-001
6.701312502991643e-004	6.813218e+000	-8.767037e-001
6.896625002991644e-004	7.220545e+000	-9.289938e-001
7.091937502991644e-004	7.519268e+000	-9.673109e-001
7.287250002991644e-004	7.710030e+000	-9.910789e-001
7.448206086292526e-004	7.777566e+000	-9.994705e-001
7.630743418223780e-004	7.751437e+000	-9.966277e-001
7.826055918223780e-004	7.613981e+000	-9.790881e-001
8.021368418223780e-004	7.363921e+000	-9.468220e-001
8.216680918223781e-004	7.003099e+000	-9.003149e-001
8.411993418223781e-004	6.536944e+000	-8.402662e-001
8.607305918223781e-004	5.972468e+000	-7.675791e-001
8.802618418223781e-004	5.318160e+000	-6.833469e-001
8.997930918223781e-004	4.583861e+000	-5.888365e-001
9.193243418223781e-004	3.780617e+000	-4.854695e-001
9.388555918223782e-004	2.920509e+000	-3.748006e-001
9.583868418223782e-004	2.016474e+000	-2.584943e-001
9.779180918223782e-004	1.082109e+000	-1.383000e-001
9.974493418223782e-004	1.314692e-001	-1.602557e-002
1.016980591822378e-003	-8.211483e-001	1.064899e-001
1.036511841822378e-003	-1.761415e+000	2.274037e-001
1.056043091822378e-003	-2.675188e+000	3.448971e-001
1.075574341822378e-003	-3.548723e+000	4.572029e-001
1.095105591822378e-003	-4.368883e+000	5.626320e-001
1.114636841822378e-003	-5.123330e+000	6.595985e-001
1.134168091822378e-003	-5.800717e+000	7.466441e-001
1.153699341822378e-003	-6.390857e+000	8.224595e-001
1.173230591822378e-003	-6.884872e+000	8.859043e-001
1.192761841822378e-003	-7.275333e+000	9.360243e-001
1.212293091822378e-003	-7.556366e+000	9.720656e-001
1.231824341822378e-003	-7.729254e+000	9.934862e-001
1.247676074985977e-003	-7.783511e+000	9.998934e-001
1.264136188250303e-003	-7.749743e+000	9.960580e-001
1.283667438250303e-003	-7.603303e+000	9.777090e-001
1.303198688250303e-003	-7.347109e+000	9.446542e-001
1.322729938250303e-003	-6.980407e+000	8.973910e-001
1.342261188250303e-003	-6.508713e+000	8.366302e-001
1.361792438250303e-003	-5.939121e+000	7.632857e-001
1.381323688250303e-003	-5.280200e+000	6.784607e-001
1.400854938250303e-003	-4.541859e+000	5.834309e-001
1.420386188250303e-003	-3.735204e+000	4.796259e-001
1.439917438250303e-003	-2.872369e+000	3.686068e-001
1.459448688250303e-003	-1.966330e+000	2.520435e-001
1.478979938250303e-003	-1.030716e+000	1.316893e-001
1.498511188250303e-003	-7.959979e-002	9.354344e-003
1.518042438250303e-003	8.727138e-001	-1.131213e-001
1.537573688250303e-003	1.811901e+000	-2.338955e-001
1.557104938250303e-003	2.723835e+000	-3.511518e-001
