time	V(vin)	V(vout)	V(n001)
0.000000000000000e+000	3.495488e-007	-5.051117e+000	5.095000e+000
1.428571445265854e-008	1.704656e-004	-5.051157e+000	5.095000e+000
2.857142890531708e-008	3.401010e-004	-5.051218e+000	5.095000e+000
4.285714335797562e-008	5.092557e-004	-5.051299e+000	5.095000e+000
5.714285781063416e-008	6.779298e-004	-5.051400e+000	5.095000e+000
7.142857226329269e-008	8.461231e-004	-5.051522e+000	5.095000e+000
8.571428671595124e-008	1.013836e-003	-5.051664e+000	5.095000e+000
1.000000011686097e-007	1.181068e-003	-5.051826e+000	5.095000e+000
2.000000023372195e-007	2.352708e-003	-5.052920e+000	5.095000e+000
3.828571473312489e-006	4.484300e-002	-5.095189e+000	5.095000e+000
7.457142944287758e-006	8.722150e-002	-5.137351e+000	5.095000e+000
1.108571441526303e-005	1.294882e-001	-5.179404e+000	5.095000e+000
1.471428588623830e-005	1.716431e-001	-5.221349e+000	5.095000e+000
1.834285735721357e-005	2.136863e-001	-5.263186e+000	5.095000e+000
2.197142882818883e-005	2.556176e-001	-5.304915e+000	5.095000e+000
2.560000029916409e-005	2.974371e-001	-5.346536e+000	5.095000e+000
4.513125029916410e-005	5.190288e-001	-5.567049e+000	5.095000e+000
6.466250029916410e-005	7.331362e-001	-5.780121e+000	5.095000e+000
8.419375029916411e-005	9.362166e-001	-5.982228e+000	5.095000e+000
1.037250002991641e-004	1.125215e+000	-6.170331e+000	5.095000e+000
1.232562502991641e-004	1.297290e+000	-6.341599e+000	5.095000e+000
1.427875002991641e-004	1.449852e+000	-6.493458e+000	5.095000e+000
1.623187502991641e-004	1.580607e+000	-6.623623e+000	5.095000e+000
1.818500002991641e-004	1.687588e+000	-6.730135e+000	5.095000e+000
2.013812502991641e-004	1.769186e+000	-6.811394e+000	5.095000e+000
2.209125002991641e-004	1.824175e+000	-6.866177e+000	5.095000e+000
2.404437502991640e-004	1.851725e+000	-6.893659e+000	5.095000e+000
2.599750002991640e-004	1.851425e+000	-6.893427e+000	5.095000e+000
2.795062502991641e-004	1.823277e+000	-6.865486e+000	5.095000e+000
2.990375002991641e-004	1.767705e+000	-6.810255e+000	5.095000e+000
3.185687502991641e-004	1.685545e+000	-6.728564e+000	5.095000e+000
3.381000002991641e-004	1.578033e+000	-6.621644e+000	5.095000e+000
3.576312502991641e-004	1.446786e+000	-6.491101e+000	5.095000e+000
3.771625002991641e-004	1.293778e+000	-6.338899e+000	5.095000e+000
3.966937502991642e-004	1.121311e+000	-6.167328e+000	5.095000e+000
4.162250002991642e-004	9.319776e-001	-5.978968e+000	5.095000e+000
4.357562502991642e-004	7.286267e-001	-5.776652e+000	5.095000e+000
4.552875002991642e-004	5.143165e-001	-5.563424e+000	5.095000e+000
4.748187502991642e-004	2.922706e-001	-5.342490e+000	5.095000e+000
4.943500002991642e-004	6.582861e-002	-5.117174e+000	5.095000e+000
5.138812502991642e-004	-1.616035e-001	-4.890863e+000	5.095000e+000
5.334125002991642e-004	-3.866049e-001	-4.666964e+000	5.095000e+000
5.529437502991642e-004	-6.057914e-001	-4.448842e+000	5.095000e+000
5.724750002991643e-004	-8.158662e-001	-4.239779e+000	5.095000e+000
5.920062502991643e-004	-1.013670e+000	-4.042920e+000	5.095000e+000
6.115375002991643e-004	-1.196227e+000	-3.861224e+000	5.095000e+000
6.310687502991643e-004	-1.360791e+000	-3.697426e+000	5.095000e+000
6.506000002991643e-004	-1.504888e+000	-3.553988e+000	5.095000e+000
6.701312502991643e-004	-1.626350e+000	-3.433069e+000	5.095000e+000
6.896625002991644e-004	-1.723350e+000	-3.336487e+000	5.095000e+000
7.091937502991644e-004	-1.794430e+000	-3.265694e+000	5.095000e+000
7.287250002991644e-004	-1.839744e+000	-3.220537e+000	5.095000e+000
7.448206086292526e-004	-1.855691e+000	-3.204613e+000	5.095000e+000
7.630743418223780e-004	-1.849267e+000	-3.210941e+000	5.095000e+000
7.826055918223780e-004	-1.816271e+000	-3.243707e+000	5.095000e+000
8.021368418223780e-004	-1.756414e+000	-3.303203e+000	5.095000e+000
8.216680918223781e-004	-1.670139e+000	-3.388989e+000	5.095000e+000
8.411993418223781e-004	-1.558743e+000	-3.499775e+000	5.095000e+000
8.607305918223781e-004	-1.423902e+000	-3.633895e+000	5.095000e+000
8.802618418223781e-004	-1.267645e+000	-3.789331e+000	5.095000e+000
8.997930918223781e-004	-1.092321e+000	-3.963746e+000	5.095000e+000
9.193243418223781e-004	-9.005671e-001	-4.154515e+000	5.095000e+000
9.388555918223782e-004	-6.952680e-001	-4.358770e+000	5.095000e+000
9.583868418223782e-004	-4.795116e-001	-4.573439e+000	5.095000e+000
9.779180918223782e-004	-2.565428e-001	-4.795293e+000	5.095000e+000
9.974493418223782e-004	-2.971537e-002	-5.020994e+000	5.095000e+000
1.016980591822378e-003	1.975590e-001	-5.247148e+000	5.095000e+000
1.036511841822378e-003	4.218619e-001	-5.470354e+000	5.095000e+000
1.056043091822378e-003	6.398197e-001	-5.687254e+000	5.095000e+000
1.075574341822378e-003	8.481539e-001	-5.894587e+000	5.095000e+000
1.095105591822378e-003	1.043731e+000	-6.089232e+000	5.095000e+000
1.114636841822378e-003	1.223610e+000	-6.268263e+000	5.095000e+000
1.134168091822378e-003	1.385084e+000	-6.428988e+000	5.095000e+000
1.153699341822378e-003	1.525725e+000	-6.568987e+000	5.095000e+000
1.173230591822378e-003	1.643418e+000	-6.686157e+000	5.095000e+000
1.192761841822378e-003	1.736393e+000	-6.778734e+000	5.095000e+000
1.212293091822378e-003	1.803250e+000	-6.845326e+000	5.095000e+000
1.231824341822378e-003	1.844300e+000	-6.886240e+000	5.095000e+000
1.247676074985977e-003	1.857080e+000	-6.899013e+000	5.095000e+000
1.264136188250303e-003	1.848853e+000	-6.890883e+000	5.095000e+000
1.283667438250303e-003	1.813714e+000	-6.855984e+000	5.095000e+000
1.303198688250303e-003	1.752393e+000	-6.795033e+000	5.095000e+000
1.322729938250303e-003	1.664715e+000	-6.707850e+000	5.095000e+000
1.342261188250303e-003	1.551999e+000	-6.595750e+000	5.095000e+000
1.361792438250303e-003	1.415938e+000	-6.460416e+000	5.095000e+000
1.381323688250303e-003	1.258581e+000	-6.303886e+000	5.095000e+000
1.400854938250303e-003	1.082294e+000	-6.128512e+000	5.095000e+000
1.420386188250303e-003	8.897275e-001	-5.936934e+000	5.095000e+000
1.439917438250303e-003	6.837789e-001	-5.732032e+000	5.095000e+000
1.459448688250303e-003	4.675457e-001	-5.516888e+000	5.095000e+000
1.478979938250303e-003	2.442802e-001	-5.294739e+000	5.095000e+000
1.498511188250303e-003	1.734049e-002	-5.068925e+000	5.095000e+000
1.518042438250303e-003	-2.098600e-001	-4.842844e+000	5.095000e+000
1.537573688250303e-003	-4.339041e-001	-4.619895e+000	5.095000e+000
1.557104938250303e-003	-6.514218e-001	-4.403432e+000	5.095000e+000
1.576636188250303e-003	-8.591415e-001	-4.196712e+000	5.095000e+000
1.596167438250303e-003	-1.053939e+000	-4.002841e+000	5.095000e+000
1.615698688250303e-003	-1.232884e+000	-3.824738e+000	5.095000e+000
1.635229938250303e-003	-1.393286e+000	-3.665081e+000	5.095000e+000
1.654761188250303e-003	-1.532731e+000	-3.526272e+000	5.095000e+000
1.674292438250303e-003	-1.649122e+000	-3.410397e+000	5.095000e+000
1.693823688250303e-003	-1.740709e+000	-3.319200e+000	5.095000e+000
1.713354938250303e-003	-1.806114e+000	-3.254053e+000	5.095000e+000
1.732886188250303e-003	-1.845431e+000	-3.214864e+000	5.095000e+000
1.749405051094904e-003	-1.857393e+000	-3.202904e+000	5.095000e+000
1.764778867646190e-003	-1.848561e+000	-3.211638e+000	5.095000e+000
1.784310117646190e-003	-1.812125e+000	-3.247827e+000	5.095000e+000
1.803841367646190e-003	-1.749921e+000	-3.309659e+000	5.095000e+000
1.823372617646190e-003	-1.661396e+000	-3.397684e+000	5.095000e+000
1.842903867646190e-003	-1.547882e+000	-3.510578e+000	5.095000e+000
1.862435117646190e-003	-1.411087e+000	-3.646643e+000	5.095000e+000
1.881966367646190e-003	-1.253067e+000	-3.803833e+000	5.095000e+000
1.901497617646190e-003	-1.076200e+000	-3.979783e+000	5.095000e+000
