time	V(vin)	V(vout)	V(n001)
0.000000000000000e+000	3.430275e-007	-4.956935e+000	5.000000e+000
1.428571445265854e-008	1.704591e-004	-4.956975e+000	5.000000e+000
2.857142890531708e-008	3.400944e-004	-4.957036e+000	5.000000e+000
4.285714335797562e-008	5.092491e-004	-4.957117e+000	5.000000e+000
5.714285781063416e-008	6.779230e-004	-4.957218e+000	5.000000e+000
7.142857226329269e-008	8.461163e-004	-4.957340e+000	5.000000e+000
8.571428671595124e-008	1.013829e-003	-4.957482e+000	5.000000e+000
1.000000011686097e-007	1.181061e-003	-4.957644e+000	5.000000e+000
2.000000023372195e-007	2.352701e-003	-4.958738e+000	5.000000e+000
3.828571473312489e-006	4.484299e-002	-5.001008e+000	5.000000e+000
7.457142944287758e-006	8.722149e-002	-5.043169e+000	5.000000e+000
1.108571441526303e-005	1.294882e-001	-5.085222e+000	5.000000e+000
1.471428588623830e-005	1.716431e-001	-5.127167e+000	5.000000e+000
1.834285735721357e-005	2.136862e-001	-5.169005e+000	5.000000e+000
2.197142882818883e-005	2.556176e-001	-5.210734e+000	5.000000e+000
2.560000029916409e-005	2.974371e-001	-5.252355e+000	5.000000e+000
4.513125029916410e-005	5.190288e-001	-5.472867e+000	5.000000e+000
6.466250029916410e-005	7.331362e-001	-5.685939e+000	5.000000e+000
8.419375029916411e-005	9.362166e-001	-5.888047e+000	5.000000e+000
1.037250002991641e-004	1.125215e+000	-6.076149e+000	5.000000e+000
1.232562502991641e-004	1.297290e+000	-6.247418e+000	5.000000e+000
1.427875002991641e-004	1.449852e+000	-6.399277e+000	5.000000e+000
1.623187502991641e-004	1.580607e+000	-6.529441e+000	5.000000e+000
1.818500002991641e-004	1.687588e+000	-6.635954e+000	5.000000e+000
2.013812502991641e-004	1.769186e+000	-6.717212e+000	5.000000e+000
2.209125002991641e-004	1.824175e+000	-6.771995e+000	5.000000e+000
2.404437502991640e-004	1.851725e+000	-6.799477e+000	5.000000e+000
2.599750002991640e-004	1.851425e+000	-6.799245e+000	5.000000e+000
2.795062502991641e-004	1.823277e+000	-6.771304e+000	5.000000e+000
2.990375002991641e-004	1.767705e+000	-6.716073e+000	5.000000e+000
3.185687502991641e-004	1.685545e+000	-6.634383e+000	5.000000e+000
3.381000002991641e-004	1.578033e+000	-6.527462e+000	5.000000e+000
3.576312502991641e-004	1.446786e+000	-6.396919e+000	5.000000e+000
3.771625002991641e-004	1.293778e+000	-6.244718e+000	5.000000e+000
3.966937502991642e-004	1.121311e+000	-6.073146e+000	5.000000e+000
4.162250002991642e-004	9.319776e-001	-5.884787e+000	5.000000e+000
4.357562502991642e-004	7.286267e-001	-5.682471e+000	5.000000e+000
4.552875002991642e-004	5.143165e-001	-5.469242e+000	5.000000e+000
4.748187502991642e-004	2.922706e-001	-5.248308e+000	5.000000e+000
4.943500002991642e-004	6.582861e-002	-5.022992e+000	5.000000e+000
5.138812502991642e-004	-1.616035e-001	-4.796681e+000	5.000000e+000
5.334125002991642e-004	-3.866049e-001	-4.572782e+000	5.000000e+000
5.529437502991642e-004	-6.057914e-001	-4.354661e+000	5.000000e+000
5.724750002991643e-004	-8.158662e-001	-4.145597e+000	5.000000e+000
5.920062502991643e-004	-1.013670e+000	-3.948738e+000	5.000000e+000
6.115375002991643e-004	-1.196227e+000	-3.767043e+000	5.000000e+000
6.310687502991643e-004	-1.360791e+000	-3.603244e+000	5.000000e+000
6.506000002991643e-004	-1.504888e+000	-3.459807e+000	5.000000e+000
6.701312502991643e-004	-1.626350e+000	-3.338887e+000	5.000000e+000
6.896625002991644e-004	-1.723350e+000	-3.242305e+000	5.000000e+000
7.091937502991644e-004	-1.794430e+000	-3.171512e+000	5.000000e+000
7.287250002991644e-004	-1.839744e+000	-3.126355e+000	5.000000e+000
7.448206086292526e-004	-1.855691e+000	-3.110431e+000	5.000000e+000
7.630743418223780e-004	-1.849267e+000	-3.116760e+000	5.000000e+000
7.826055918223780e-004	-1.816271e+000	-3.149526e+000	5.000000e+000
8.021368418223780e-004	-1.756414e+000	-3.209022e+000	5.000000e+000
8.216680918223781e-004	-1.670139e+000	-3.294808e+000	5.000000e+000
8.411993418223781e-004	-1.558743e+000	-3.405594e+000	5.000000e+000
8.607305918223781e-004	-1.423902e+000	-3.539713e+000	5.000000e+000
8.802618418223781e-004	-1.267645e+000	-3.695149e+000	5.000000e+000
8.997930918223781e-004	-1.092321e+000	-3.869564e+000	5.000000e+000
9.193243418223781e-004	-9.005671e-001	-4.060333e+000	5.000000e+000
9.388555918223782e-004	-6.952681e-001	-4.264589e+000	5.000000e+000
9.583868418223782e-004	-4.795116e-001	-4.479258e+000	5.000000e+000
9.779180918223782e-004	-2.565428e-001	-4.701111e+000	5.000000e+000
9.974493418223782e-004	-2.971538e-002	-4.926812e+000	5.000000e+000
1.016980591822378e-003	1.975590e-001	-5.152966e+000	5.000000e+000
1.036511841822378e-003	4.218619e-001	-5.376173e+000	5.000000e+000
1.056043091822378e-003	6.398197e-001	-5.593072e+000	5.000000e+000
1.075574341822378e-003	8.481539e-001	-5.800405e+000	5.000000e+000
1.095105591822378e-003	1.043731e+000	-5.995050e+000	5.000000e+000
1.114636841822378e-003	1.223610e+000	-6.174081e+000	5.000000e+000
1.134168091822378e-003	1.385084e+000	-6.334805e+000	5.000000e+000
1.153699341822378e-003	1.525725e+000	-6.474805e+000	5.000000e+000
1.173230591822378e-003	1.643418e+000	-6.591975e+000	5.000000e+000
1.192761841822378e-003	1.736393e+000	-6.684552e+000	5.000000e+000
1.212293091822378e-003	1.803250e+000	-6.751144e+000	5.000000e+000
1.231824341822378e-003	1.844300e+000	-6.792058e+000	5.000000e+000
1.247676074985977e-003	1.857080e+000	-6.804831e+000	5.000000e+000
1.264136188250303e-003	1.848853e+000	-6.796701e+000	5.000000e+000
1.283667438250303e-003	1.813714e+000	-6.761803e+000	5.000000e+000
1.303198688250303e-003	1.752393e+000	-6.700851e+000	5.000000e+000
1.322729938250303e-003	1.664715e+000	-6.613669e+000	5.000000e+000
1.342261188250303e-003	1.551999e+000	-6.501568e+000	5.000000e+000
1.361792438250303e-003	1.415938e+000	-6.366235e+000	5.000000e+000
1.381323688250303e-003	1.258581e+000	-6.209704e+000	5.000000e+000
1.400854938250303e-003	1.082294e+000	-6.034330e+000	5.000000e+000
1.420386188250303e-003	8.897275e-001	-5.842752e+000	5.000000e+000
1.439917438250303e-003	6.837789e-001	-5.637850e+000	5.000000e+000
1.459448688250303e-003	4.675457e-001	-5.422707e+000	5.000000e+000
1.478979938250303e-003	2.442802e-001	-5.200557e+000	5.000000e+000
1.498511188250303e-003	1.734048e-002	-4.974744e+000	5.000000e+000
1.518042438250303e-003	-2.098600e-001	-4.748662e+000	5.000000e+000
1.537573688250303e-003	-4.339041e-001	-4.525713e+000	5.000000e+000
1.557104938250303e-003	-6.514218e-001	-4.309250e+000	5.000000e+000
1.576636188250303e-003	-8.591415e-001	-4.102530e+000	5.000000e+000
1.596167438250303e-003	-1.053939e+000	-3.908659e+000	5.000000e+000
1.615698688250303e-003	-1.232884e+000	-3.730556e+000	5.000000e+000
1.635229938250303e-003	-1.393286e+000	-3.570899e+000	5.000000e+000
1.654761188250303e-003	-1.532731e+000	-3.432090e+000	5.000000e+000
1.674292438250303e-003	-1.649122e+000	-3.316215e+000	5.000000e+000
1.693823688250303e-003	-1.740709e+000	-3.225019e+000	5.000000e+000
1.713354938250303e-003	-1.806114e+000	-3.159871e+000	5.000000e+000
1.732886188250303e-003	-1.845431e+000	-3.120682e+000	5.000000e+000
1.749405051094904e-003	-1.857393e+000	-3.108722e+000	5.000000e+000
1.764778867646190e-003	-1.848561e+000	-3.117457e+000	5.000000e+000
1.784310117646190e-003	-1.812125e+000	-3.153645e+000	5.000000e+000
1.803841367646190e-003	-1.749921e+000	-3.215477e+000	5.000000e+000
1.823372617646190e-003	-1.661396e+000	-3.303502e+000	5.000000e+000
1.842903867646190e-003	-1.547882e+000	-3.416396e+000	5.000000e+000
1.862435117646190e-003	-1.411087e+000	-3.552461e+000	5.000000e+000
1.881966367646190e-003	-1.253067e+000	-3.709651e+000	5.000000e+000
1.901497617646190e-003	-1.076200e+000	-3.885601e+000	5.000000e+000
1.921028867646190e-003	-8.831464e-001	-4.077665e+000	5.000000e+000
1.940560117646190e-003	-6.768092e-001	-4.282954e+000	5.000000e+000
1.960091367646190e-003	-4.602922e-001	-4.498380e+000	5.000000e+000
1.979622617646190e-003	-2.368519e-001	-4.720704e+000	5.000000e+000
1.999153867646190e-003	-9.849105e-003	-4.946580e+000	5.000000e+000
2.018685117646190e-003	2.173018e-001	-5.172612e+000	5.000000e+000
2.038216367646190e-003	4.411843e-001	-5.395401e+000	5.000000e+000
