f	Vin	Vin_scala	Vout	Vout_scala
10	0.985	2	3.968	5
50	0.985	2	3.968	5
100	0.985	2	3.968	5
165	0.985	2	3.968	5
270	0.985	2	4.002	5
440	0.985	2	4.018	5
720	0.985	2	4.052	5
1180	0.985	2	4.052	5
1930	0.985	2	4.052	5
3160	0.985	2	4.052	5
5180	0.985	2	3.735	5
8480	0.985	2	3.17	5
13900	0.985	2	2.288	5
22750	0.985	2	1.285	2
37280	0.9517	2	0.6106	1
61000	0.9517	2	0.2621	0.5
100000	0.9517	2	0.114	0.5
6000	0.985	2	3.602	5
7000	0.985	2	3.4636	5
8000	0.985	2	3.261	5
9000	0.985	2	3.087	5
10000	0.985	2	2.903	5
45000	0.975	2	0.4459	0.5
