f	V
1.00000000000000e+001	1.20986377839345e+001
1.25892541179417e+001	1.20986539520847e+001
1.58489319246111e+001	1.20986795726283e+001
1.99526231496888e+001	1.20987201677866e+001
2.51188643150958e+001	1.20987844799956e+001
3.16227766016838e+001	1.20988863407558e+001
3.98107170553497e+001	1.20990476105228e+001
5.01187233627272e+001	1.20993027830046e+001
6.30957344480194e+001	1.20997061450052e+001
7.94328234724282e+001	1.21003427824921e+001
1.00000000000000e+002	1.21013451811378e+001
1.25892541179417e+002	1.21029174774607e+001
1.58489319246111e+002	1.21053689471607e+001
1.99526231496888e+002	1.21091555033353e+001
2.51188643150958e+002	1.21149195022284e+001
3.16227766016838e+002	1.21234985186255e+001
3.98107170553498e+002	1.21358382978370e+001
5.01187233627273e+002	1.21527039843151e+001
6.30957344480194e+002	1.21740914089902e+001
7.94328234724282e+002	1.21984008392967e+001
1.00000000000000e+003	1.22217612157286e+001
1.25892541179417e+003	1.22380323659882e+001
1.58489319246111e+003	1.22394677116721e+001
1.99526231496888e+003	1.22171378337690e+001
2.51188643150958e+003	1.21601230685508e+001
3.16227766016838e+003	1.20532858770392e+001
3.98107170553498e+003	1.18740725705386e+001
5.01187233627273e+003	1.15888958198939e+001
6.30957344480194e+003	1.11498405685786e+001
7.94328234724283e+003	1.04932561426228e+001
1.00000000000000e+004	9.54301776516043e+000
1.25892541179417e+004	8.22146313454289e+000
1.58489319246112e+004	6.46792145050089e+000
1.99526231496888e+004	4.25807927674887e+000
2.51188643150958e+004	1.61291693438363e+000
3.16227766016839e+004	-1.40897049247100e+000
3.98107170553498e+004	-4.73030333604355e+000
5.01187233627273e+004	-8.27403590062537e+000
6.30957344480195e+004	-1.19749681335255e+001
7.94328234724283e+004	-1.57835750408948e+001
1.00000000000000e+005	-1.96650428559769e+001
