t	vout
0.000000000000000e+000	0.000000e+000
1.000000000000000e-009	0.000000e+000
2.000000000000000e-009	-1.086185e-004
4.919998932565719e-009	-6.005423e-005
7.839997865131436e-009	6.091266e-006
1.075999679769716e-008	8.981796e-005
1.367999573026287e-008	1.911259e-004
1.659999466282859e-008	3.100150e-004
1.951999359539431e-008	4.464853e-004
2.243999252796002e-008	6.005368e-004
4.291998504129766e-008	1.734055e-003
8.387997006797292e-008	4.265107e-003
3.296398802280245e-007	1.995280e-002
5.097433434544218e-006	3.191113e-001
9.865226988860411e-006	6.098213e-001
1.463302054317661e-005	8.920827e-001
1.940081409749280e-005	1.165896e+000
2.416860765180899e-005	1.431260e+000
2.893640120612519e-005	1.688176e+000
3.370419476044137e-005	1.936643e+000
3.603245265180689e-005	2.055457e+000
3.836071054317241e-005	2.172557e+000
4.068896843453793e-005	2.287945e+000
4.301722632590345e-005	2.401619e+000
4.534548421726896e-005	2.513580e+000
4.767374210863449e-005	2.623829e+000
5.000200000000000e-005	2.732364e+000
5.000300000000000e-005	2.732522e+000
5.000592863559679e-005	2.732608e+000
5.000885727119356e-005	2.732677e+000
5.001178590679034e-005	2.732728e+000
5.001471454238712e-005	2.732762e+000
5.001764317798390e-005	2.732778e+000
5.002057181358068e-005	2.732776e+000
5.002350044917746e-005	2.732757e+000
5.004404101665076e-005	2.732569e+000
5.008512215159737e-005	2.731930e+000
5.033160896127702e-005	2.727587e+000
6.444105882978740e-005	2.493320e+000
7.855050869829779e-005	2.275762e+000
9.265995856680816e-005	2.074910e+000
1.067694084353186e-004	1.890767e+000
1.208788583038289e-004	1.723331e+000
1.349883081723393e-004	1.572603e+000
1.490977580408497e-004	1.438582e+000
1.632104812551354e-004	1.314999e+000
1.773232044694211e-004	1.200230e+000
1.914359276837069e-004	1.094278e+000
2.055486508979926e-004	9.971408e-001
2.196613741122783e-004	9.088193e-001
2.337740973265640e-004	8.293133e-001
2.478868205408497e-004	7.586229e-001
2.600408383979935e-004	7.019202e-001
2.721948562551373e-004	6.488129e-001
2.843488741122811e-004	5.993010e-001
2.965028919694248e-004	5.533846e-001
3.086569098265686e-004	5.110637e-001
3.208109276837123e-004	4.723381e-001
3.329649455408561e-004	4.372081e-001
3.333165080408561e-004	4.362136e-001
3.371281862944905e-004	4.255905e-001
3.409398645481250e-004	4.152115e-001
3.447515428017594e-004	4.050766e-001
3.485632210553938e-004	3.951856e-001
3.523748993090283e-004	3.855387e-001
3.561865775626627e-004	3.761358e-001
3.599982558162971e-004	3.669769e-001
3.599992558162971e-004	3.669746e-001
3.600000000000000e-004	3.669728e-001
