f	V
1.00000000000000e+001	1.98936989250198e+001
1.25892541179417e+001	1.98934599513213e+001
1.58489319246111e+001	1.98930812304671e+001
1.99526231496888e+001	1.98924810660050e+001
2.51188643150958e+001	1.98915300392925e+001
3.16227766016838e+001	1.98900231899932e+001
3.98107170553497e+001	1.98876360652274e+001
5.01187233627272e+001	1.98838554130708e+001
6.30957344480194e+001	1.98778702166391e+001
7.94328234724282e+001	1.98684011833093e+001
1.00000000000000e+002	1.98534359392970e+001
1.25892541179417e+002	1.98298227547652e+001
1.58489319246111e+002	1.97926593972026e+001
1.99526231496888e+002	1.97344032128532e+001
2.51188643150958e+002	1.96436448481949e+001
3.16227766016838e+002	1.95035782774711e+001
3.98107170553498e+002	1.92904457272462e+001
5.01187233627273e+002	1.89727191402482e+001
6.30957344480194e+002	1.85124142674609e+001
7.94328234724282e+002	1.78701349749476e+001
1.00000000000000e+003	1.70140828578707e+001
1.25892541179417e+003	1.59299847860082e+001
1.58489319246111e+003	1.46262885085879e+001
1.99526231496888e+003	1.31310332243252e+001
2.51188643150958e+003	1.14826044728319e+001
3.16227766016838e+003	9.72003008788099e+000
3.98107170553498e+003	7.87680177683703e+000
5.01187233627273e+003	5.97871124917174e+000
6.30957344480194e+003	4.04426410350455e+000
7.94328234724283e+003	2.08613966910717e+000
1.00000000000000e+004	1.12769902070526e-001
1.25892541179417e+004	-1.87034432292740e+000
1.58489319246112e+004	-3.85965810671799e+000
1.99526231496888e+004	-5.85290497036314e+000
2.51188643150958e+004	-7.84864332336395e+000
3.16227766016839e+004	-9.84595971153912e+000
3.98107170553498e+004	-1.18442774395083e+001
5.01187233627273e+004	-1.38432344099075e+001
6.30957344480195e+004	-1.58426058910013e+001
7.94328234724283e+004	-1.78422563775004e+001
1.00000000000000e+005	-1.98421104878303e+001
