t	vin	vout
-8.42643021	0.00427259	5.12711000
-8.38643021	0.00427259	5.12711000
-8.34643021	0.00427259	5.12711000
-8.30643021	-0.01324503	5.12711000
-8.26643021	-0.01324503	5.12711000
-8.22643021	-0.01324503	9.55229400
-8.18643021	-0.01324503	5.12711000
-8.14643021	0.00427259	5.12711000
-8.10643022	-0.01324503	5.12711000
-8.06643022	-0.01324503	5.12711000
-8.02643022	0.00427259	5.12711000
-7.98643022	0.00427259	5.12711000
-7.94643022	-0.01324503	5.12711000
-7.90643022	-0.01324503	5.12711000
-7.86643022	0.00427259	5.12711000
-7.82643022	0.00427259	5.12711000
-7.78643022	0.00427259	0.68666640
-7.74643022	-0.01324503	5.12711000
-7.70643022	-0.01324503	5.12711000
-7.66643022	-0.01324503	5.12711000
-7.62643022	0.00427259	5.12711000
-7.58643022	0.00427259	5.12711000
-7.54643022	-0.01324503	5.12711000
-7.50643022	-0.01324503	0.68666640
-7.46643022	-0.01324503	5.12711000
-7.42643022	0.00427259	5.12711000
-7.38643022	0.00427259	5.12711000
-7.34643022	0.00427259	5.12711000
-7.30643022	-0.01324503	5.12711000
-7.26643022	-0.01324503	5.12711000
-7.22643022	-0.01324503	5.12711000
-7.18643022	-0.01324503	5.12711000
-7.14643022	-0.01324503	5.12711000
-7.10643022	-0.01324503	0.68666640
-7.06643022	0.00427259	5.12711000
-7.02643022	0.00427259	5.12711000
-6.98643022	-0.01324503	5.12711000
-6.94643022	0.00427259	5.12711000
-6.90643022	-0.01324503	5.12711000
-6.86643022	-0.01324503	5.12711000
-6.82643022	0.00427259	5.12711000
-6.78643022	-0.01324503	5.12711000
-6.74643022	-0.01324503	5.12711000
-6.70643022	-0.01324503	5.12711000
-6.66643022	0.00427259	5.12711000
-6.62643022	0.00427259	5.12711000
-6.58643022	0.00427259	5.12711000
-6.54643022	0.00427259	5.12711000
-6.50643022	-0.01324503	5.12711000
-6.46643023	-0.01324503	5.12711000
-6.42643023	-0.03076266	5.12711000
-6.38643023	-0.06579791	5.12711000
-6.34643023	-0.10089420	5.12711000
-6.30643023	-0.15344710	5.12711000
-6.26643023	-0.20606100	5.12711000
-6.22643023	-0.24109620	5.12711000
-6.18643023	-0.29364910	5.12711000
-6.14643023	-0.34626300	5.12711000
-6.10643023	-0.38129830	5.12711000
-6.06643023	-0.43391220	0.68666640
-6.02643023	-0.48646510	5.12711000
-5.98643023	-0.52156140	0.68666640
-5.94643023	-0.55659660	5.12711000
-5.90643023	-0.59163190	0.68666640
-5.86643023	-0.62666710	5.12711000
-5.82643023	-0.66176340	0.68666640
-5.78643023	-0.69679860	5.12711000
-5.74643023	-0.71431630	0.68666640
-5.70643023	-0.74941250	5.12711000
-5.66643023	-0.76693020	5.12711000
-5.62643023	-0.76693020	13.99274000
-5.58643023	-0.78444780	22.87362000
-5.54643023	-0.80196550	9.55229400
-5.50643023	-0.80196550	5.12711000
-5.46643023	-0.81948300	0.68666640
-5.42643023	-0.85451840	0.68666640
-5.38643023	-0.87209700	5.12711000
-5.34643023	-0.87209700	5.12711000
-5.30643023	-0.87209700	5.12711000
-5.26643023	-0.90713210	0.68666640
-5.22643023	-0.90713210	0.68666640
-5.18643023	-0.92464980	0.68666640
-5.14643023	-0.92464980	9.55229400
-5.10643023	-0.94216750	9.55229400
-5.06643023	-0.94216750	5.12711000
-5.02643023	-0.94216750	5.12711000
-4.98643023	-0.94216750	5.12711000
-4.94643023	-0.94216750	5.12711000
-4.90643023	-0.95968510	5.12711000
-4.86643023	-0.95968510	5.12711000
-4.82643024	-0.97726370	5.12711000
-4.78643024	-0.97726370	5.12711000
-4.74643024	-0.97726370	5.12711000
-4.70643024	-0.97726370	5.12711000
-4.66643024	-0.97726370	5.12711000
-4.62643024	-0.97726370	5.12711000
-4.58643024	-0.97726370	5.12711000
-4.54643024	-0.97726370	5.12711000
-4.50643024	-0.97726370	5.12711000
