f	Vin	Vin_scala	Vout	Vout_scala
100	0.9684	2	0.00885	0.5
165	0.9684	2	0.00948	0.5
270	0.9684	2	0.01833	0.5
440	0.9684	2	0.03224	0.5
720	0.9684	2	0.04614	0.5
1180	0.9684	2	0.07269	0.5
1930	0.9684	2	0.11820	0.5
3160	0.9684	2	0.18390	0.5
5180	0.9684	2	0.28130	0.5
8480	0.9836	2	0.37360	0.5
13900	0.9836	2	0.42160	0.5
22750	0.9735	2	0.36980	0.5
37280	0.9684	2	0.27240	0.5
61000	0.9684	2	0.17760	0.5
100000	0.9482	2	0.11060	0.5
6700	0.9836	2	0.33100	0.5
10000	0.9836	2	0.40270	0.5
11000	0.9836	2	0.41280	0.5
12000	0.9836	2	0.42160	0.5
15000	0.9684	2	0.41910	0.5
17000	0.9735	2	0.41280	0.5
19000	0.9735	2	0.39510	0.5
13000	0.9735	2	0.42290	0.5
28000	0.9684	2	0.33310	0.5
45000	0.9684	2	0.23580	0.5
31000	0.9684	2	0.31160	0.5
50000	0.9684	2	0.21430	0.5
