t	vin	vout
-1.81071402	0.00427259	0.68666640
-1.77071403	-0.01324503	0.68666640
-1.73071403	-0.01324503	0.68666640
-1.69071403	-0.01324503	0.68666640
-1.65071403	0.00427259	0.68666640
-1.61071403	-0.01324503	0.68666640
-1.57071403	-0.01324503	0.68666640
-1.53071403	-0.01324503	0.68666640
-1.49071403	-0.01324503	0.68666640
-1.45071403	0.00427259	0.68666640
-1.41071403	-0.01324503	-3.75377700
-1.37071403	-0.01324503	0.68666640
-1.33071403	-0.01324503	-3.75377700
-1.29071403	-0.01324503	0.68666640
-1.25071403	-0.01324503	-3.75377700
-1.21071403	-0.01324503	0.68666640
-1.17071403	-0.01324503	0.68666640
-1.13071403	-0.01324503	0.68666640
-1.09071403	-0.01324503	-3.75377700
-1.05071403	0.00427259	0.68666640
-1.01071403	0.00427259	0.68666640
-0.97071403	-0.01324503	-3.75377700
-0.93071403	-0.01324503	0.68666640
-0.89071403	0.00427259	0.68666640
-0.85071403	-0.01324503	0.68666640
-0.81071403	-0.01324503	0.68666640
-0.77071403	-0.01324503	0.68666640
-0.73071403	-0.01324503	0.68666640
-0.69071403	-0.01324503	0.68666640
-0.65071403	-0.01324503	0.68666640
-0.61071403	-0.01324503	0.68666640
-0.57071403	-0.01324503	0.68666640
-0.53071403	-0.01324503	0.68666640
-0.49071403	-0.01324503	0.68666640
-0.45071403	-0.01324503	0.68666640
-0.41071403	-0.01324503	0.68666640
-0.37071403	-0.01324503	-3.75377700
-0.33071403	-0.01324503	0.68666640
-0.29071403	0.00427259	0.68666640
-0.25071403	-0.01324503	0.68666640
-0.21071403	-0.01324503	-3.75377700
-0.17071403	0.00427259	0.68666640
-0.13071404	0.00427259	0.68666640
-0.09071404	0.03930784	0.68666640
-0.05071404	0.05682547	0.68666640
-0.01071404	0.07434309	0.68666640
0.02928596	0.10937830	0.68666640
0.06928596	0.12689600	0.68666640
0.10928596	0.17950990	0.68666640
0.14928596	0.21454510	0.68666640
0.18928596	0.24958040	5.12711000
0.22928596	0.28467670	0.68666640
0.26928596	0.31971190	5.12711000
0.30928596	0.35474720	5.12711000
0.34928596	0.38984350	5.12711000
0.38928596	0.40736110	5.12711000
0.42928596	0.45991390	5.12711000
0.46928596	0.47743160	9.55229400
0.50928596	0.49501030	9.55229400
0.54928596	0.53004550	13.99274000
0.58928596	0.54756310	13.99274000
0.62928596	0.56508080	13.99274000
0.66928596	0.58259840	18.43318000
0.70928596	0.60017700	18.43318000
0.74928596	0.61769470	18.43318000
0.78928596	0.65272990	22.87362000
0.82928596	0.67024760	22.87362000
0.86928596	0.67024760	27.29881000
0.90928596	0.68776520	27.29881000
0.94928596	0.70528270	27.29881000
0.98928596	0.72286140	31.72399000
1.02928596	0.74037910	31.72399000
1.06928596	0.74037910	31.72399000
1.10928596	0.75789670	36.16443000
1.14928596	0.77541430	36.16443000
1.18928596	0.79293190	40.60488000
1.22928596	0.79293190	45.04532000
1.26928596	0.81044960	40.60488000
1.30928596	0.81044960	45.04532000
1.34928596	0.82802830	49.47050000
1.38928596	0.84554580	49.47050000
1.42928596	0.84554580	49.47050000
1.46928596	0.84554580	53.91095000
1.50928595	0.84554580	58.35139000
1.54928595	0.88058110	58.35139000
1.58928595	0.88058110	58.35139000
1.62928595	0.88058110	62.79184000
1.66928595	0.88058110	67.21702000
1.70928595	0.89809870	67.21702000
1.74928595	0.89809870	67.21702000
1.78928595	0.91561640	76.09790000
1.82928595	0.91561640	71.65746000
1.86928595	0.91561640	76.09790000
1.90928595	0.91561640	80.53835000
1.94928595	0.91561640	76.09790000
1.98928595	0.93313400	80.53835000
2.02928595	0.93313400	84.96352000
2.06928595	0.95071260	84.96352000
2.10928595	0.95071260	89.40398000
2.14928595	0.95071260	89.40398000
2.18928595	0.95071260	93.84441000
2.22928595	0.95071260	98.28486000
2.26928595	0.95071260	98.28486000
2.30928595	0.95071260	102.72530000
2.34928595	0.95071260	102.72530000
2.38928595	0.95071260	102.72530000
2.42928595	0.95071260	107.15050000
2.46928595	0.95071260	107.15050000
2.50928595	0.95071260	111.59090000
2.54928595	0.96823030	111.59090000
2.58928595	0.96823030	116.03140000
2.62928595	0.96823030	116.03140000
2.66928595	0.96823030	116.03140000
2.70928595	0.95071260	120.47180000
2.74928595	0.96823030	124.89700000
2.78928595	0.96823030	120.47180000
2.82928595	0.96823030	129.33740000
2.86928595	0.96823030	129.33740000
2.90928595	0.96823030	133.77790000
2.94928595	0.96823030	129.33740000
2.98928595	0.96823030	133.77790000
3.02928595	0.96823030	138.21830000
3.06928595	0.96823030	138.21830000
3.10928595	0.98574790	124.89700000
3.14928594	0.96823030	138.21830000
3.18928594	0.96823030	138.21830000
3.22928594	0.96823030	116.03140000
3.26928594	0.96823030	147.08400000
3.30928594	0.96823030	147.08400000
3.34928594	0.98574790	138.21830000
3.38928594	0.96823030	155.96480000
3.42928594	0.96823030	155.96480000
3.46928594	0.96823030	155.96480000
3.50928594	0.96823030	155.96480000
3.54928594	0.96823030	164.83050000
3.58928594	0.96823030	160.39000000
3.62928594	0.96823030	164.83050000
3.66928594	0.96823030	164.83050000
3.70928594	0.96823030	169.27090000
3.74928594	0.96823030	169.27090000
3.78928594	0.96823030	173.71130000
3.82928594	0.96823030	169.27090000
3.86928594	0.96823030	173.71130000
3.90928594	0.96823030	173.71130000
3.94928594	0.96823030	178.15180000
3.98928594	0.96823030	178.15180000
4.02928594	0.96823030	178.15180000
4.06928594	0.96823030	182.57700000
4.10928594	0.96823030	182.57700000
4.14928594	0.96823030	182.57700000
4.18928594	0.96823030	182.57700000
4.22928594	0.96823030	187.01740000
4.26928594	0.96823030	187.01740000
4.30928594	0.96823030	187.01740000
4.34928594	0.96823030	191.45790000
4.38928594	0.96823030	195.89830000
4.42928594	0.96823030	191.45790000
4.46928594	0.96823030	195.89830000
4.50928594	0.96823030	195.89830000
4.54928594	0.96823030	200.32350000
4.58928594	0.96823030	200.32350000
4.62928594	0.96823030	200.32350000
4.66928594	0.96823030	200.32350000
4.70928594	0.96823030	204.76390000
4.74928594	0.96823030	204.76390000
4.78928593	0.96823030	209.20440000
4.82928593	0.96823030	209.20440000
4.86928593	0.96823030	209.20440000
4.90928593	0.96823030	209.20440000
4.94928593	0.96823030	213.64480000
4.98928593	0.96823030	213.64480000
5.02928593	0.96823030	213.64480000
5.06928593	0.96823030	218.07000000
5.10928593	0.96823030	213.64480000
5.14928593	0.96823030	218.07000000
5.18928593	0.96823030	218.07000000
5.22928593	0.96823030	218.07000000
5.26928593	0.96823030	222.51040000
5.30928593	0.96823030	222.51040000
5.34928593	0.96823030	222.51040000
5.38928593	0.96823030	226.95090000
5.42928593	0.96823030	226.95090000
5.46928593	0.96823030	226.95090000
5.50928593	0.96823030	226.95090000
5.54928593	0.96823030	231.39130000
5.58928593	0.96823030	231.39130000
5.62928593	0.96823030	231.39130000
5.66928593	0.96823030	235.81650000
5.70928593	0.96823030	235.81650000
5.74928593	0.96823030	235.81650000
5.78928593	0.96823030	235.81650000
5.82928593	0.96823030	235.81650000
5.86928593	0.96823030	240.25700000
5.90928593	0.96823030	240.25700000
5.94928593	0.96823030	235.81650000
5.98928593	0.96823030	244.69740000
6.02928593	0.96823030	240.25700000
6.06928593	0.96823030	244.69740000
6.10928593	0.96823030	244.69740000
6.14928593	0.96823030	249.13780000
6.18928593	0.96823030	244.69740000
6.22928593	0.96823030	244.69740000
6.26928593	0.96823030	244.69740000
6.30928593	0.96823030	249.13780000
6.34928593	0.96823030	249.13780000
6.38928593	0.96823030	249.13780000
6.42928592	0.96823030	253.57830000
6.46928592	0.98574790	253.57830000
6.50928592	0.96823030	253.57830000
6.54928592	0.96823030	253.57830000
6.58928592	0.96823030	253.57830000
6.62928592	0.98574790	258.00350000
6.66928592	0.96823030	258.00350000
6.70928592	0.96823030	258.00350000
6.74928592	0.98574790	258.00350000
6.78928592	0.96823030	262.44390000
6.82928592	0.96823030	262.44390000
6.86928592	0.96823030	262.44390000
6.90928592	0.96823030	262.44390000
6.94928592	0.96823030	262.44390000
6.98928592	0.96823030	262.44390000
7.02928592	0.96823030	266.88440000
7.06928592	0.96823030	266.88440000
7.10928592	0.96823030	262.44390000
7.14928592	0.96823030	271.32480000
7.18928592	0.96823030	266.88440000
7.22928592	0.96823030	271.32480000
7.26928592	0.96823030	271.32480000
7.30928592	0.96823030	271.32480000
7.34928592	0.96823030	271.32480000
7.38928592	0.98574790	271.32480000
7.42928592	0.96823030	271.32480000
7.46928592	0.96823030	275.75000000
7.50928592	0.96823030	275.75000000
