t	vin	vout
-8.41800465	0.00427259	-3.75377700
-8.37800465	-0.01324503	-3.75377700
-8.33800465	-0.01324503	0.68666640
-8.29800465	-0.01324503	-3.75377700
-8.25800466	0.00427259	-3.75377700
-8.21800466	-0.01324503	0.68666640
-8.17800466	-0.01324503	-3.75377700
-8.13800466	-0.01324503	0.68666640
-8.09800466	0.00427259	-3.75377700
-8.05800466	-0.01324503	0.68666640
-8.01800466	-0.01324503	-3.75377700
-7.97800466	-0.01324503	-3.75377700
-7.93800466	-0.01324503	-3.75377700
-7.89800466	-0.01324503	0.68666640
-7.85800466	0.00427259	-3.75377700
-7.81800466	-0.01324503	-3.75377700
-7.77800466	-0.01324503	-3.75377700
-7.73800466	-0.01324503	0.68666640
-7.69800466	-0.01324503	0.68666640
-7.65800466	-0.01324503	-3.75377700
-7.61800466	-0.01324503	-3.75377700
-7.57800466	-0.01324503	0.68666640
-7.53800466	0.00427259	0.68666640
-7.49800466	-0.01324503	0.68666640
-7.45800466	-0.01324503	-3.75377700
-7.41800466	-0.01324503	-3.75377700
-7.37800466	-0.01324503	0.68666640
-7.33800466	-0.01324503	-3.75377700
-7.29800466	-0.01324503	-3.75377700
-7.25800466	0.00427259	-3.75377700
-7.21800466	0.00427259	-3.75377700
-7.17800466	-0.01324503	-3.75377700
-7.13800466	-0.01324503	-3.75377700
-7.09800466	-0.01324503	-3.75377700
-7.05800466	-0.01324503	-3.75377700
-7.01800466	-0.01324503	0.68666640
-6.97800466	-0.01324503	-3.75377700
-6.93800466	-0.01324503	-3.75377700
-6.89800466	-0.01324503	-3.75377700
-6.85800466	-0.01324503	-3.75377700
-6.81800466	-0.01324503	-3.75377700
-6.77800466	0.00427259	-3.75377700
-6.73800466	-0.01324503	0.68666640
-6.69800466	-0.01324503	0.68666640
-6.65800466	-0.01324503	0.68666640
-6.61800467	-0.01324503	0.68666640
-6.57800467	0.00427259	-3.75377700
-6.53800467	-0.01324503	0.68666640
-6.49800467	-0.01324503	-3.75377700
-6.45800467	-0.01324503	-3.75377700
-6.41800467	-0.01324503	-3.75377700
-6.37800467	-0.01324503	0.68666640
-6.33800467	-0.01324503	-3.75377700
-6.29800467	-0.01324503	-3.75377700
-6.25800467	0.00427259	-3.75377700
-6.21800467	-0.01324503	-3.75377700
-6.17800467	-0.01324503	0.68666640
-6.13800467	-0.01324503	0.68666640
-6.09800467	-0.01324503	-3.75377700
-6.05800467	-0.01324503	0.68666640
-6.01800467	-0.01324503	0.68666640
-5.97800467	-0.01324503	-3.75377700
-5.93800467	-0.01324503	0.68666640
-5.89800467	-0.01324503	-3.75377700
-5.85800467	-0.01324503	0.68666640
-5.81800467	-0.03076266	0.68666640
-5.77800467	-0.04828028	0.68666640
-5.73800467	-0.10089420	0.68666640
-5.69800467	-0.13592950	-3.75377700
-5.65800467	-0.17096470	0.68666640
-5.61800467	-0.24109620	0.68666640
-5.57800467	-0.29364910	0.68666640
-5.53800467	-0.32874540	-3.75377700
-5.49800467	-0.36378060	-3.75377700
-5.45800467	-0.41639450	-3.75377700
-5.41800467	-0.45142980	0.68666640
-5.37800467	-0.50398270	-3.75377700
-5.33800467	-0.53907900	0.68666640
-5.29800467	-0.57411420	-3.75377700
-5.25800467	-0.62666710	-3.75377700
-5.21800467	-0.66176340	-3.75377700
-5.17800467	-0.67928100	-3.75377700
-5.13800467	-0.71431630	-3.75377700
-5.09800467	-0.73183390	-3.75377700
-5.05800467	-0.76693020	-3.75377700
-5.01800467	-0.78444780	-3.75377700
-4.97800468	-0.80196550	0.68666640
-4.93800468	-0.81948300	-3.75377700
-4.89800468	-0.83700070	-3.75377700
-4.85800468	-0.85451840	-3.75377700
-4.81800468	-0.87209700	-3.75377700
-4.77800468	-0.87209700	-3.75377700
-4.73800468	-0.88961460	-3.75377700
-4.69800468	-0.88961460	-3.75377700
-4.65800468	-0.90713210	-3.75377700
-4.61800468	-0.90713210	-3.75377700
-4.57800468	-0.92464980	-3.75377700
-4.53800468	-0.94216750	0.68666640
-4.49800468	-0.94216750	0.68666640
-4.45800468	-0.94216750	-3.75377700
-4.41800468	-0.94216750	-3.75377700
-4.37800468	-0.94216750	-3.75377700
-4.33800468	-0.94216750	-3.75377700
-4.29800468	-0.95968510	0.68666640
-4.25800468	-0.95968510	-3.75377700
-4.21800468	-0.95968510	0.68666640
-4.17800468	-0.97726370	-3.75377700
-4.13800468	-0.97726370	0.68666640
-4.09800468	-0.97726370	-3.75377700
-4.05800468	-0.97726370	-3.75377700
-4.01800468	-0.97726370	-3.75377700
-3.97800468	-0.97726370	0.68666640
-3.93800468	-0.97726370	0.68666640
-3.89800468	-0.97726370	0.68666640
-3.85800468	-0.97726370	0.68666640
-3.81800468	-0.99478140	-3.75377700
-3.77800468	-0.99478140	0.68666640
-3.73800468	-0.99478140	0.68666640
-3.69800468	-0.99478140	0.68666640
-3.65800468	-0.99478140	5.12711000
-3.61800468	-0.99478140	0.68666640
-3.57800468	-0.99478140	0.68666640
-3.53800468	-0.99478140	5.12711000
-3.49800468	-0.99478140	5.12711000
-3.45800468	-0.99478140	5.12711000
-3.41800468	-0.99478140	-3.75377700
-3.37800468	-0.99478140	5.12711000
-3.33800469	-0.99478140	0.68666640
-3.29800469	-0.99478140	13.99274000
-3.25800469	-0.94216750	27.29881000
-3.21800469	-0.95968510	9.55229400
-3.17800469	-0.97726370	5.12711000
-3.13800469	-0.97726370	-8.19422000
-3.09800469	-0.99478140	-3.75377700
-3.05800469	-0.99478140	0.68666640
-3.01800469	-0.99478140	5.12711000
-2.97800469	-0.97726370	9.55229400
-2.93800469	-0.97726370	13.99274000
-2.89800469	-0.99478140	5.12711000
-2.85800469	-0.99478140	5.12711000
-2.81800469	-0.99478140	5.12711000
-2.77800469	-0.99478140	9.55229400
-2.73800469	-0.99478140	9.55229400
-2.69800469	-0.99478140	9.55229400
-2.65800469	-0.99478140	9.55229400
-2.61800469	-0.99478140	9.55229400
-2.57800469	-0.99478140	9.55229400
-2.53800469	-0.99478140	9.55229400
-2.49800469	-0.99478140	9.55229400
-2.45800469	-0.99478140	9.55229400
-2.41800469	-0.99478140	9.55229400
-2.37800469	-0.99478140	9.55229400
-2.33800469	-0.99478140	13.99274000
-2.29800469	-0.99478140	9.55229400
-2.25800469	-0.99478140	13.99274000
-2.21800469	-0.99478140	9.55229400
-2.17800469	-0.99478140	13.99274000
-2.13800469	-0.99478140	9.55229400
