time	V(vout)
0.000000000000000e+000	0.000000e+000
2.387259048471520e-008	-2.257135e-007
4.774518096943041e-008	4.183967e-008
7.161777145414561e-008	8.026594e-007
9.549036193886081e-008	2.056746e-006
1.193629524235760e-007	3.804099e-006
1.432355429082912e-007	6.044718e-006
1.671081333930064e-007	8.778605e-006
2.519075901212254e-007	2.832380e-005
3.367241761029376e-007	6.668233e-005
4.197410837735807e-007	1.293282e-004
5.000000000000000e-007	2.112145e-004
5.561812413584935e-007	2.975732e-004
6.203883743396289e-007	4.239477e-004
7.488026403018997e-007	7.430589e-004
8.855213903018996e-007	1.172210e-003
1.022240140301900e-006	1.702342e-003
1.158958890301900e-006	2.332192e-003
1.295677640301899e-006	3.058935e-003
1.432396390301899e-006	3.879806e-003
1.569115140301899e-006	4.792094e-003
1.705833890301899e-006	5.793147e-003
1.842552640301899e-006	6.880367e-003
1.979271390301899e-006	8.051213e-003
2.115990140301899e-006	9.303194e-003
2.252708890301899e-006	1.063387e-002
2.526146390301899e-006	1.352184e-002
2.799583890301899e-006	1.669661e-002
3.073021390301899e-006	2.014050e-002
3.483177640301898e-006	2.577402e-002
3.893333890301898e-006	3.192085e-002
3.980000477401627e-006	3.328083e-002
4.066667064501356e-006	3.465963e-002
4.153333651601085e-006	3.605725e-002
4.240000238700813e-006	3.747370e-002
4.326666825800543e-006	3.890896e-002
4.413333412900272e-006	4.036306e-002
4.500000000000000e-006	4.183597e-002
4.531518045781549e-006	4.237785e-002
4.563036091563098e-006	4.292076e-002
4.594554137344647e-006	4.346470e-002
4.626072183126196e-006	4.400967e-002
4.657590228907745e-006	4.455567e-002
4.689108274689294e-006	4.510270e-002
4.720626320470843e-006	4.565076e-002
4.760536846117865e-006	4.634624e-002
4.800447371764888e-006	4.703888e-002
4.840357897411910e-006	4.772866e-002
4.880268423058932e-006	4.841560e-002
4.920178948705955e-006	4.909968e-002
4.960089474352977e-006	4.978092e-002
5.000000000000000e-006	5.045930e-002
5.037528565614261e-006	5.108945e-002
5.524659903874308e-006	5.864690e-002
6.011791242134356e-006	6.549952e-002
6.498922580394402e-006	7.164731e-002
6.986053918654450e-006	7.709027e-002
7.473185256914497e-006	8.182841e-002
7.960316595174544e-006	8.586173e-002
8.447447933434591e-006	8.919021e-002
8.935729183434589e-006	9.204064e-002
9.424010433434588e-006	9.449568e-002
9.912291683434587e-006	9.655535e-002
1.040057293343458e-005	9.821964e-002
1.088885418343458e-005	9.948856e-002
1.137713543343458e-005	1.003621e-001
1.186541668343458e-005	1.008403e-001
1.235369793343458e-005	1.010635e-001
1.284197918343458e-005	1.010832e-001
1.333026043343458e-005	1.008993e-001
1.381854168343457e-005	1.005119e-001
1.430682293343457e-005	9.992097e-002
1.479510418343457e-005	9.912648e-002
1.528338543343457e-005	9.812845e-002
1.598651043343457e-005	9.644127e-002
1.668963543343458e-005	9.460204e-002
1.739276043343459e-005	9.261076e-002
1.809588543343459e-005	9.046744e-002
1.879901043343460e-005	8.817206e-002
1.950213543343461e-005	8.572463e-002
2.020526043343461e-005	8.312515e-002
2.110369793343462e-005	7.975599e-002
2.200213543343463e-005	7.640353e-002
2.290057293343464e-005	7.306779e-002
2.379901043343464e-005	6.974875e-002
2.469744793343465e-005	6.644642e-002
2.559588543343466e-005	6.316080e-002
2.649432293343467e-005	5.989188e-002
2.743182293343468e-005	5.661143e-002
2.836932293343469e-005	5.344541e-002
2.930682293343469e-005	5.039381e-002
3.024432293343470e-005	4.745664e-002
3.118182293343471e-005	4.463389e-002
3.211932293343472e-005	4.192557e-002
3.305682293343473e-005	3.933168e-002
3.405291668343473e-005	3.672729e-002
3.504901043343475e-005	3.425159e-002
3.604510418343475e-005	3.190456e-002
3.704119793343476e-005	2.968620e-002
3.803729168343477e-005	2.759653e-002
3.903338543343478e-005	2.563553e-002
4.002947918343479e-005	2.380322e-002
4.114276043343480e-005	2.189659e-002
4.225604168343480e-005	2.010768e-002
4.336932293343482e-005	1.843648e-002
4.448260418343483e-005	1.688300e-002
4.559588543343484e-005	1.544724e-002
4.670916668343485e-005	1.412919e-002
4.782244793343486e-005	1.292885e-002
4.915057293343487e-005	1.162147e-002
5.047869793343488e-005	1.041411e-002
5.180682293343489e-005	9.306768e-003
5.313494793343490e-005	8.299443e-003
5.446307293343492e-005	7.392136e-003
5.579119793343493e-005	6.584847e-003
5.711932293343494e-005	5.877577e-003
5.854510418343495e-005	5.191398e-003
5.997088543343496e-005	4.563400e-003
6.139666668343497e-005	3.993583e-003
6.282244793343499e-005	3.481946e-003
6.424822918343501e-005	3.028491e-003
6.567401043343501e-005	2.633216e-003
6.709979168343503e-005	2.296122e-003
6.874041668343504e-005	1.951118e-003
7.038104168343505e-005	1.639687e-003
7.202166668343507e-005	1.361827e-003
7.366229168343508e-005	1.117540e-003
7.530291668343510e-005	9.068238e-004
7.694354168343511e-005	7.296799e-004
7.858416668343513e-005	5.861080e-004
8.077166668343515e-005	4.223872e-004
8.295916668343517e-005	2.787103e-004
8.514666668343518e-005	1.550772e-004
8.733416668343520e-005	5.148780e-005
8.952166668343522e-005	-3.205778e-005
9.170916668343524e-005	-9.555958e-005
9.389666668343526e-005	-1.390176e-004
9.768572918343530e-005	-1.963013e-004
1.014747916834353e-004	-2.430509e-004
1.052638541834354e-004	-2.792664e-004
1.090529166834354e-004	-3.049477e-004
1.128419791834354e-004	-3.200949e-004
1.166310416834355e-004	-3.247079e-004
1.204201041834355e-004	-3.187868e-004
1.346388541834356e-004	-3.063630e-004
1.399708854334357e-004	-2.983027e-004
