time	V(vout)
0.000000000000000e+000	0.000000e+000
2.387259048471520e-008	-2.257135e-007
4.774518096943041e-008	4.183967e-008
7.161777145414561e-008	8.026594e-007
9.549036193886081e-008	2.056746e-006
1.193629524235760e-007	3.804099e-006
1.432355429082912e-007	6.044718e-006
1.671081333930064e-007	8.778605e-006
2.519075901212254e-007	2.832380e-005
3.367241761029376e-007	6.668233e-005
4.197410837735807e-007	1.293282e-004
5.000000000000000e-007	2.112145e-004
5.561812413584935e-007	2.975732e-004
6.203883743396289e-007	4.239477e-004
7.488026403018997e-007	7.430589e-004
8.855213903018996e-007	1.172210e-003
1.022240140301900e-006	1.702342e-003
1.158958890301900e-006	2.332192e-003
1.295677640301899e-006	3.058935e-003
1.432396390301899e-006	3.879806e-003
1.569115140301899e-006	4.792094e-003
1.705833890301899e-006	5.793147e-003
1.842552640301899e-006	6.880367e-003
1.979271390301899e-006	8.051213e-003
2.115990140301899e-006	9.303194e-003
2.252708890301899e-006	1.063387e-002
2.526146390301899e-006	1.352184e-002
2.799583890301899e-006	1.669661e-002
3.073021390301899e-006	2.014050e-002
3.483177640301898e-006	2.577402e-002
3.893333890301898e-006	3.192085e-002
4.122857620258770e-006	3.558612e-002
4.352381350215642e-006	3.936744e-002
4.581905080172513e-006	4.326481e-002
4.811428810129386e-006	4.727824e-002
5.040952540086258e-006	5.140772e-002
5.270476270043130e-006	5.565324e-002
5.500000000000001e-006	6.001482e-002
5.595703125000001e-006	6.185510e-002
5.705078125000001e-006	6.396205e-002
5.863281250000001e-006	6.700114e-002
6.000000000000000e-006	6.958158e-002
6.035156249999979e-006	7.023216e-002
6.070312499999958e-006	7.087708e-002
6.105468749999936e-006	7.151636e-002
6.140624999999916e-006	7.214999e-002
6.175781249999894e-006	7.277797e-002
6.210937499999873e-006	7.340031e-002
6.246093749999852e-006	7.401700e-002
6.753906249999851e-006	8.221764e-002
7.261718749999851e-006	8.958509e-002
7.769531249999851e-006	9.611933e-002
8.277343749999850e-006	1.018204e-001
8.785156249999850e-006	1.066882e-001
9.292968749999848e-006	1.107228e-001
9.800781249999847e-006	1.139243e-001
1.024999999999985e-005	1.163181e-001
1.069921874999985e-005	1.183495e-001
1.114843749999984e-005	1.200187e-001
1.159765624999984e-005	1.213255e-001
1.204687499999984e-005	1.222700e-001
1.249609374999984e-005	1.228521e-001
1.294531249999984e-005	1.230720e-001
1.343359374999984e-005	1.230278e-001
1.392187499999984e-005	1.227609e-001
1.441015624999984e-005	1.222712e-001
1.489843749999984e-005	1.215588e-001
1.538671874999984e-005	1.206237e-001
1.587499999999984e-005	1.194659e-001
1.636328124999984e-005	1.180853e-001
1.706640624999984e-005	1.158278e-001
1.776953124999985e-005	1.134118e-001
1.847265624999986e-005	1.108375e-001
1.917578124999986e-005	1.081049e-001
1.987890624999987e-005	1.052139e-001
2.058203124999988e-005	1.021645e-001
2.128515624999988e-005	9.895670e-002
2.218359374999989e-005	9.482263e-002
2.308203124999990e-005	9.072439e-002
2.398046874999991e-005	8.666198e-002
2.487890624999991e-005	8.263540e-002
2.577734374999992e-005	7.864465e-002
2.667578124999993e-005	7.468972e-002
2.757421874999994e-005	7.077063e-002
2.849218749999995e-005	6.692438e-002
2.941015624999995e-005	6.321397e-002
3.032812499999996e-005	5.963939e-002
3.124609374999997e-005	5.620064e-002
3.216406249999998e-005	5.289772e-002
3.308203124999999e-005	4.973063e-002
3.399999999999999e-005	4.669938e-002
3.497656250000000e-005	4.364938e-002
3.595312500000001e-005	4.074869e-002
3.692968750000002e-005	3.799732e-002
3.790625000000003e-005	3.539527e-002
3.888281250000004e-005	3.294254e-002
3.985937500000005e-005	3.063912e-002
4.083593750000005e-005	2.848502e-002
4.191015625000006e-005	2.627419e-002
4.298437500000007e-005	2.419614e-002
4.405859375000009e-005	2.225086e-002
4.513281250000010e-005	2.043836e-002
4.620703125000011e-005	1.875862e-002
4.728125000000011e-005	1.721167e-002
4.835546875000012e-005	1.579748e-002
4.960546875000013e-005	1.428738e-002
5.085546875000014e-005	1.288737e-002
5.210546875000016e-005	1.159744e-002
5.335546875000017e-005	1.041760e-002
5.460546875000018e-005	9.347855e-003
5.585546875000019e-005	8.388194e-003
5.710546875000020e-005	7.538621e-003
5.847265625000021e-005	6.695885e-003
5.983984375000022e-005	5.922210e-003
6.120703125000023e-005	5.217594e-003
6.257421875000024e-005	4.582039e-003
6.394140625000025e-005	4.015545e-003
6.530859375000026e-005	3.518110e-003
6.667578125000027e-005	3.089736e-003
6.819921875000029e-005	2.661951e-003
6.972265625000030e-005	2.273528e-003
7.124609375000032e-005	1.924466e-003
7.276953125000032e-005	1.614766e-003
7.429296875000034e-005	1.344428e-003
7.581640625000036e-005	1.113451e-003
7.733984375000037e-005	9.218352e-004
7.927343750000039e-005	7.103879e-004
8.120703125000040e-005	5.227072e-004
8.314062500000042e-005	3.587930e-004
8.507421875000043e-005	2.186454e-004
8.700781250000046e-005	1.022644e-004
8.894140625000048e-005	9.649970e-006
9.087500000000049e-005	-5.919791e-005
9.388281250000051e-005	-1.452174e-004
9.689062500000054e-005	-2.176835e-004
9.989843750000057e-005	-2.765961e-004
1.029062500000006e-004	-3.219552e-004
1.059140625000006e-004	-3.537609e-004
1.089218750000007e-004	-3.720131e-004
1.119296875000007e-004	-3.767118e-004
1.152500000000007e-004	-3.829765e-004
1.185703125000007e-004	-3.870407e-004
1.218906250000008e-004	-3.889043e-004
1.252109375000008e-004	-3.885673e-004
