f	vin	vout
1.00000000000000e+001	-2.15082344780635e-008	-6.38487975823924e+001
1.25892541179417e+001	-3.40882460136571e-008	-6.18487997080742e+001
1.58489319246111e+001	-5.40262082927851e-008	-5.98488030770519e+001
1.99526231496888e+001	-8.56257162392448e-008	-5.78488084165190e+001
2.51188643150958e+001	-1.35707484291972e-007	-5.58488168789973e+001
3.16227766016838e+001	-2.15081538106538e-007	-5.38488302911046e+001
3.98107170553497e+001	-3.40880438175982e-007	-5.18488515478199e+001
5.01187233627272e+001	-5.40257010257750e-007	-4.98488852373366e+001
6.30957344480194e+001	-8.56244442323330e-007	-4.78489386313547e+001
7.94328234724282e+001	-1.35704288311802e-006	-4.58490232544982e+001
1.00000000000000e+002	-2.15073511383186e-006	-4.38491573714533e+001
1.25892541179417e+002	-3.40860277193364e-006	-4.18493699282607e+001
1.58489319246111e+002	-5.40206367711317e-006	-3.98497067974431e+001
1.99526231496888e+002	-8.56117240929300e-006	-3.78502406723562e+001
2.51188643150958e+002	-1.35672340292945e-005	-3.58510867398602e+001
3.16227766016838e+002	-2.14993275013807e-005	-3.38524274976954e+001
3.98107170553498e+002	-3.40658785890434e-005	-3.18545520318146e+001
5.01187233627273e+002	-5.39700458613640e-005	-2.98579181273810e+001
6.30957344480194e+002	-8.54847304754863e-005	-2.78632503586598e+001
7.94328234724282e+002	-1.35353684734806e-004	-2.58716946761171e+001
1.00000000000000e+003	-2.14194190609545e-004	-2.38850612237688e+001
1.25892541179417e+003	-3.38656898673360e-004	-2.19062037293905e+001
1.58489319246111e+003	-5.34693000218792e-004	-1.99396072801451e+001
1.99526231496888e+003	-8.42352132284085e-004	-1.79922865990035e+001
2.51188643150958e+003	-1.32247568138592e-003	-1.60751287017740e+001
3.16227766016838e+003	-2.06518345203012e-003	-1.42048272685061e+001
3.98107170553498e+003	-3.19860268546350e-003	-1.24064990573279e+001
5.01187233627273e+003	-4.89295177932015e-003	-1.07168346265299e+001
6.30957344480194e+003	-7.34928876864717e-003	-9.18704044861874e+000
7.94328234724283e+003	-1.07563739015845e-002	-7.88374977886367e+000
1.00000000000000e+004	-1.52035285113716e-002	-6.88486043612891e+000
1.25892541179417e+004	-2.05693662483219e-002	-6.26738589395913e+000
1.58489319246112e+004	-2.64621187508243e-002	-6.08815294346829e+000
1.99526231496888e+004	-3.23007408866728e-002	-6.36515060669384e+000
2.51188643150958e+004	-3.75247545099105e-002	-7.07087486479423e+000
3.16227766016839e+004	-4.17891342789367e-002	-8.14236121017191e+000
3.98107170553498e+004	-4.50169976391575e-002	-9.50095075515478e+000
5.01187233627273e+004	-4.73233615434026e-002	-1.10704576313193e+001
6.30957344480195e+004	-4.89042388399668e-002	-1.27874657761913e+001
7.94328234724283e+004	-4.99572212017459e-002	-1.46041050345845e+001
1.00000000000000e+005	-5.06452610214449e-002	-1.64864826868290e+001
