f	vinre	vinim	voutre	voutim
1.00000000000000e+001	9.99999997516380e-001	     -3.84530780386508e-006	8.31245376994668e-007	     6.42036556655018e-004
1.25892541179417e+001	9.99999996063728e-001	     -4.84095452927771e-006	1.31743449418728e-006	     8.08275542438313e-004
1.58489319246111e+001	9.99999993761432e-001	     -6.09439831748838e-006	2.08799134099389e-006	     1.01755743485188e-003
1.99526231496888e+001	9.99999990112542e-001	     -7.67238820913322e-006	3.30923919211240e-006	     1.28102654780359e-003
2.51188643150958e+001	9.99999984329451e-001	     -9.65895510322384e-006	5.24478044408287e-006	     1.61271215564643e-003
3.16227766016838e+001	9.99999975163892e-001	     -1.21598853105175e-005	8.31239114104960e-006	     2.03027489991433e-003
3.98107170553497e+001	9.99999960637517e-001	     -1.53083512701327e-005	1.31741876258313e-005	     2.55594587968245e-003
5.01187233627272e+001	9.99999937614910e-001	     -1.92719979005120e-005	2.08795182524382e-005	     3.21770773899916e-003
6.30957344480194e+001	9.99999901126902e-001	     -2.42618591953068e-005	3.30913993404285e-005	     4.05077925896422e-003
7.94328234724282e+001	9.99999843298221e-001	     -3.05435743921435e-005	5.24453112309321e-005	     5.09947974214461e-003
1.00000000000000e+002	9.99999751648241e-001	     -3.84514900173635e-005	8.31176489099602e-005	     6.41956694462871e-003
1.25892541179417e+002	9.99999606398591e-001	     -4.84063768518260e-005	1.31726146203433e-004	     8.08116202981166e-003
1.58489319246111e+002	9.99999376207928e-001	     -6.09376615509487e-005	2.08755672941691e-004	     1.01723953159701e-002
1.99526231496888e+002	9.99999011416775e-001	     -7.67112695739871e-005	3.30814759885313e-004	     1.28039231305667e-002
2.51188643150958e+002	9.99998433353331e-001	     -9.65643882199618e-005	5.24203889043182e-004	     1.61144689847438e-002
3.16227766016838e+002	9.99997517414457e-001	     -1.21548654497525e-004	8.30550628001487e-004	     2.02775103595624e-002
3.98107170553498e+002	9.99996066326477e-001	     -1.52983377978000e-004	1.31569000444540e-003	     2.55091218232188e-002
5.01187233627273e+002	9.99993767956010e-001	     -1.92520261919303e-004	2.08361192991186e-003	     3.20767074284710e-002
6.30957344480194e+002	9.99990128919488e-001	     -2.42220350244427e-004	3.29824874317026e-003	     4.03077350425040e-002
7.94328234724282e+002	9.99984370548504e-001	     -3.04641924779850e-004	5.21721394479134e-003	     5.05962828176235e-002
1.00000000000000e+003	9.99975266965706e-001	     -3.82933475378666e-004	8.24330696895964e-003	     6.34025849902095e-002
1.25892541179417e+003	9.99960895799067e-001	     -4.80916136431505e-004	1.30012886226807e-002	     7.92356766027116e-002
1.58489319246111e+003	9.99938261199717e-001	     -6.03120540591904e-004	2.04477129976736e-002	     9.85998061992598e-002
1.99526231496888e+003	9.99902740510820e-001	     -7.54706200160443e-004	3.20165655412634e-002	     1.21868968070998e-001
2.51188643150958e+003	9.99847313023888e-001	     -9.41126338499293e-004	4.97837099609931e-002	     1.49029029513508e-001
3.16227766016838e+003	9.99761583777310e-001	     -1.16729798713111e-003	7.65794443874513e-002	     1.79199031827539e-001
3.98107170553498e+003	9.99630783756932e-001	     -1.43590838793846e-003	1.15860875616060e-001	     2.09843282387445e-001
5.01187233627273e+003	9.99435314374253e-001	     -1.74442646330520e-003	1.70958308453927e-001	     2.35706960477615e-001
6.30957344480194e+003	9.99152073279956e-001	     -2.08067502712853e-003	2.43135831296926e-001	     2.47932870290111e-001
7.94328234724283e+003	9.98759466192741e-001	     -2.41799020837664e-003	3.28205066890027e-001	     2.34670879346543e-001
1.00000000000000e+004	9.98247472425775e-001	     -2.71338108675040e-003	4.13030670909463e-001	     1.85182218294691e-001
1.25892541179417e+004	9.97630409662027e-001	     -2.91419899413065e-003	4.76044407772036e-001	     9.78349112546785e-002
1.58489319246112e+004	9.96953630338977e-001	     -2.97596990606818e-003	4.95952759658557e-001	     -1.31256394049483e-002
1.99526231496888e+004	9.96283972925867e-001	     -2.88353218432484e-003	4.65086477705818e-001	     -1.20942158174933e-001
2.51188643150958e+004	9.95685570323038e-001	     -2.65931221377310e-003	3.95032910040456e-001	     -2.00612763124481e-001
3.16227766016839e+004	9.95197625607471e-001	     -2.35126699793659e-003	3.08293434920145e-001	     -2.41523173931395e-001
3.98107170553498e+004	9.94828601050761e-001	     -2.01119405443413e-003	2.25050155187511e-001	     -2.48051834504043e-001
5.01187233627273e+004	9.94565094606140e-001	     -1.67895061647142e-003	1.56320621245702e-001	     -2.31772319270335e-001
6.30957344480195e+004	9.94384557196665e-001	     -1.37793883964003e-003	1.04767686763454e-001	     -2.04098412323785e-001
7.94328234724283e+004	9.94264342256058e-001	     -1.11796745742057e-003	6.84279147076454e-002	     -1.73085374274237e-001
1.00000000000000e+005	9.94185807143347e-001	     -9.00192451404734e-004	4.38192338500859e-002	     -1.43306923586711e-001
