time	V(vout)
0.000000000000000e+000	0.000000e+000
2.386961850569606e-008	-2.256895e-007
4.773923701139211e-008	4.168738e-008
7.160885551708817e-008	8.021306e-007
9.547847402278422e-008	2.055640e-006
1.193480925284803e-007	3.802216e-006
1.432177110341763e-007	6.041858e-006
1.670873295398723e-007	8.774567e-006
2.518797861917524e-007	2.831164e-005
3.366614080186812e-007	6.663895e-005
4.196480109857089e-007	1.292463e-004
5.000000000000000e-007	2.112128e-004
5.562463923100038e-007	2.976848e-004
6.205279835214367e-007	4.242514e-004
7.490911659443024e-007	7.438659e-004
8.858099159443023e-007	1.173190e-003
1.022528665944302e-006	1.703504e-003
1.159247415944302e-006	2.333511e-003
1.295966165944302e-006	3.060380e-003
1.432684915944302e-006	3.881336e-003
1.569403665944302e-006	4.793662e-003
1.706122415944302e-006	5.794694e-003
1.842841165944302e-006	6.881826e-003
1.979559915944302e-006	8.052502e-003
2.116278665944302e-006	9.304223e-003
2.252997415944302e-006	1.063454e-002
2.526434915944302e-006	1.352140e-002
2.799872415944302e-006	1.669449e-002
3.073309915944302e-006	2.013597e-002
3.483466165944301e-006	2.576424e-002
3.893622415944301e-006	3.190341e-002
4.123104927952258e-006	3.556271e-002
4.352587439960216e-006	3.933679e-002
4.582069951968173e-006	4.322564e-002
4.811552463976130e-006	4.722926e-002
5.041034975984087e-006	5.134766e-002
5.270517487992044e-006	5.558084e-002
5.500000000000001e-006	5.992879e-002
5.595703125000001e-006	6.176308e-002
5.705078125000001e-006	6.386281e-002
5.863281250000001e-006	6.689099e-002
6.000000000000000e-006	6.946125e-002
6.035156249999979e-006	7.010909e-002
6.070312499999958e-006	7.075123e-002
6.105468749999936e-006	7.138768e-002
6.140624999999916e-006	7.201843e-002
6.175781249999894e-006	7.264349e-002
6.210937499999873e-006	7.326285e-002
6.246093749999852e-006	7.387652e-002
6.753906249999851e-006	8.202975e-002
7.261718749999851e-006	8.933863e-002
7.769531249999851e-006	9.580317e-002
8.277343749999850e-006	1.014234e-001
8.785156249999850e-006	1.061992e-001
9.292968749999848e-006	1.101308e-001
9.800781249999847e-006	1.132179e-001
1.024999999999985e-005	1.155000e-001
1.069921874999985e-005	1.174115e-001
1.114843749999984e-005	1.189523e-001
1.159765624999984e-005	1.201226e-001
1.204687499999984e-005	1.209222e-001
1.249609374999984e-005	1.213512e-001
1.294531249999984e-005	1.214096e-001
1.345312499999984e-005	1.211610e-001
1.396093749999984e-005	1.206675e-001
1.446874999999984e-005	1.199290e-001
1.497656249999984e-005	1.189456e-001
1.548437499999984e-005	1.177172e-001
1.599218749999984e-005	1.162439e-001
1.649999999999984e-005	1.145256e-001
1.722265624999985e-005	1.117964e-001
1.794531249999985e-005	1.089049e-001
1.866796874999986e-005	1.058511e-001
1.939062499999987e-005	1.026350e-001
2.011328124999987e-005	9.925659e-002
2.083593749999988e-005	9.571590e-002
2.155859374999988e-005	9.201291e-002
2.233984374999989e-005	8.800779e-002
2.312109374999990e-005	8.403139e-002
2.390234374999990e-005	8.008370e-002
2.468359374999991e-005	7.616474e-002
2.546484374999992e-005	7.227450e-002
2.624609374999993e-005	6.841298e-002
2.702734374999993e-005	6.458018e-002
2.767187499999994e-005	6.150684e-002
2.831640624999994e-005	5.850255e-002
2.896093749999995e-005	5.556731e-002
2.960546874999996e-005	5.270112e-002
3.024999999999996e-005	4.990397e-002
3.089453124999997e-005	4.717588e-002
3.153906249999997e-005	4.451683e-002
3.214453124999997e-005	4.209474e-002
3.274999999999998e-005	3.974100e-002
3.335546874999999e-005	3.745562e-002
3.396093750000000e-005	3.523858e-002
3.456640625000000e-005	3.308990e-002
3.517187500000001e-005	3.100957e-002
3.577734375000001e-005	2.899759e-002
3.671484375000002e-005	2.602475e-002
3.765234375000003e-005	2.319825e-002
3.858984375000004e-005	2.051808e-002
3.952734375000005e-005	1.798426e-002
4.046484375000006e-005	1.559677e-002
4.140234375000006e-005	1.335562e-002
4.233984375000007e-005	1.126080e-002
4.325781250000008e-005	9.334973e-003
4.417578125000009e-005	7.514169e-003
4.509375000000009e-005	5.798393e-003
4.601171875000010e-005	4.187644e-003
4.692968750000011e-005	2.681923e-003
4.784765625000012e-005	1.281228e-003
4.876562500000012e-005	-1.443860e-005
4.974218750000013e-005	-1.297506e-003
5.071875000000014e-005	-2.499934e-003
5.169531250000015e-005	-3.621722e-003
5.267187500000016e-005	-4.662870e-003
5.364843750000017e-005	-5.623378e-003
5.462500000000018e-005	-6.503247e-003
5.560156250000018e-005	-7.302476e-003
5.708593750000020e-005	-8.385346e-003
5.857031250000021e-005	-9.363748e-003
6.005468750000022e-005	-1.023768e-002
6.153906250000023e-005	-1.100715e-002
6.302343750000024e-005	-1.167215e-002
6.450781250000026e-005	-1.223268e-002
6.599218750000027e-005	-1.268874e-002
6.817968750000029e-005	-1.323340e-002
7.036718750000031e-005	-1.369128e-002
7.255468750000033e-005	-1.406237e-002
7.474218750000035e-005	-1.434668e-002
7.692968750000037e-005	-1.454421e-002
7.911718750000038e-005	-1.465495e-002
8.130468750000040e-005	-1.467891e-002
8.499609375000044e-005	-1.463756e-002
8.868750000000047e-005	-1.455228e-002
9.237890625000050e-005	-1.442306e-002
9.607031250000053e-005	-1.424990e-002
9.976171875000057e-005	-1.403281e-002
1.034531250000006e-004	-1.377178e-002
1.071445312500006e-004	-1.346682e-002
1.111484375000007e-004	-1.315775e-002
1.151523437500007e-004	-1.285068e-002
1.191562500000007e-004	-1.254563e-002
1.231601562500008e-004	-1.224258e-002
1.271640625000008e-004	-1.194154e-002
1.311679687500009e-004	-1.164250e-002
1.351718750000009e-004	-1.134547e-002
1.353085937500009e-004	-1.133557e-002
1.399570312500009e-004	-1.100323e-002
1.400000000000000e-004	-1.100019e-002
