time	V(vout)
0.000000000000000e+000	0.000000e+000
2.386961850569606e-008	-2.256895e-007
4.773923701139211e-008	4.168738e-008
7.160885551708817e-008	8.021306e-007
9.547847402278422e-008	2.055640e-006
1.193480925284803e-007	3.802216e-006
1.432177110341763e-007	6.041858e-006
1.670873295398723e-007	8.774567e-006
2.518797861917524e-007	2.831164e-005
3.366614080186812e-007	6.663895e-005
4.196480109857089e-007	1.292463e-004
5.000000000000000e-007	2.112128e-004
5.562463923100038e-007	2.976848e-004
6.205279835214367e-007	4.242514e-004
7.490911659443024e-007	7.438659e-004
8.858099159443023e-007	1.173190e-003
1.022528665944302e-006	1.703504e-003
1.159247415944302e-006	2.333511e-003
1.295966165944302e-006	3.060380e-003
1.432684915944302e-006	3.881336e-003
1.569403665944302e-006	4.793662e-003
1.706122415944302e-006	5.794694e-003
1.842841165944302e-006	6.881826e-003
1.979559915944302e-006	8.052502e-003
2.116278665944302e-006	9.304223e-003
2.252997415944302e-006	1.063454e-002
2.526434915944302e-006	1.352140e-002
2.799872415944302e-006	1.669449e-002
3.073309915944302e-006	2.013597e-002
3.483466165944301e-006	2.576424e-002
3.893622415944301e-006	3.190341e-002
3.980247785095116e-006	3.326077e-002
4.066873154245929e-006	3.463680e-002
4.153498523396743e-006	3.603149e-002
4.240123892547558e-006	3.744484e-002
4.326749261698372e-006	3.887686e-002
4.413374630849187e-006	4.032754e-002
4.500000000000000e-006	4.179688e-002
4.539640052769167e-006	4.247776e-002
4.579280105538334e-006	4.315981e-002
4.618920158307501e-006	4.384302e-002
4.658560211076668e-006	4.452741e-002
4.698200263845834e-006	4.521296e-002
4.737840316615002e-006	4.589968e-002
4.777480369384168e-006	4.658757e-002
4.863281250000000e-006	4.806429e-002
5.000000000000000e-006	5.039827e-002
5.041015625000000e-006	5.108401e-002
5.533203125000001e-006	5.868091e-002
6.025390625000001e-006	6.555227e-002
6.517578125000002e-006	7.169809e-002
7.009765625000002e-006	7.711837e-002
7.501953125000003e-006	8.181309e-002
7.994140625000004e-006	8.578228e-002
8.486328125000003e-006	8.902592e-002
8.955078125000001e-006	9.165821e-002
9.423828125000001e-006	9.391659e-002
9.892578124999998e-006	9.580108e-002
1.036132812500000e-005	9.731166e-002
1.083007812500000e-005	9.844833e-002
1.129882812499999e-005	9.921111e-002
1.176757812499999e-005	9.959998e-002
1.225585937499999e-005	9.973596e-002
1.274414062499999e-005	9.965791e-002
1.323242187499999e-005	9.936584e-002
1.372070312499999e-005	9.885975e-002
1.420898437499998e-005	9.813963e-002
1.469726562499998e-005	9.720548e-002
1.518554687499998e-005	9.605731e-002
1.590820312499999e-005	9.407672e-002
1.663085937499999e-005	9.192780e-002
1.735351562500000e-005	8.961057e-002
1.807617187500001e-005	8.712502e-002
1.879882812500001e-005	8.447115e-002
1.952148437500002e-005	8.164897e-002
2.024414062500002e-005	7.865846e-002
2.104492187500003e-005	7.531908e-002
2.184570312500004e-005	7.198932e-002
2.264648437500004e-005	6.866920e-002
2.344726562500005e-005	6.535872e-002
2.424804687500006e-005	6.205786e-002
2.504882812500007e-005	5.876664e-002
2.584960937500007e-005	5.548505e-002
2.653320312500008e-005	5.276182e-002
2.721679687500008e-005	5.010018e-002
2.790039062500009e-005	4.750014e-002
2.858398437500010e-005	4.496169e-002
2.926757812500010e-005	4.248484e-002
2.995117187500010e-005	4.006958e-002
3.063476562500011e-005	3.771591e-002
3.129882812500012e-005	3.550376e-002
3.196289062500012e-005	3.335911e-002
3.262695312500013e-005	3.128195e-002
3.329101562500014e-005	2.927230e-002
3.395507812500014e-005	2.733013e-002
3.461914062500015e-005	2.545547e-002
3.528320312500015e-005	2.364830e-002
3.625976562500016e-005	2.112060e-002
3.723632812500017e-005	1.872229e-002
3.821289062500018e-005	1.645338e-002
3.918945312500019e-005	1.431387e-002
4.016601562500020e-005	1.230375e-002
4.114257812500020e-005	1.042303e-002
4.211914062500021e-005	8.671710e-003
4.305664062500022e-005	7.096532e-003
4.399414062500023e-005	5.609311e-003
4.493164062500024e-005	4.210046e-003
4.586914062500025e-005	2.898738e-003
4.680664062500026e-005	1.675386e-003
4.774414062500026e-005	5.399905e-004
4.868164062500027e-005	-5.074482e-004
4.975585937500028e-005	-1.617450e-003
5.083007812500029e-005	-2.651426e-003
5.190429687500030e-005	-3.609376e-003
5.297851562500031e-005	-4.491300e-003
5.405273437500032e-005	-5.297197e-003
5.512695312500033e-005	-6.027069e-003
5.620117187500034e-005	-6.680915e-003
5.780273437500035e-005	-7.539563e-003
5.940429687500036e-005	-8.308978e-003
6.100585937500038e-005	-8.989161e-003
6.260742187500039e-005	-9.580110e-003
6.420898437500041e-005	-1.008183e-002
6.581054687500041e-005	-1.049431e-002
6.741210937500043e-005	-1.081756e-002
6.979492187500045e-005	-1.119472e-002
7.217773437500048e-005	-1.150336e-002
7.456054687500049e-005	-1.174348e-002
7.694335937500051e-005	-1.191507e-002
7.932617187500054e-005	-1.201814e-002
8.170898437500056e-005	-1.205269e-002
8.409179687500058e-005	-1.201872e-002
8.836914062500061e-005	-1.189747e-002
9.264648437500066e-005	-1.174707e-002
9.692382812500070e-005	-1.156750e-002
1.012011718750007e-004	-1.135877e-002
1.054785156250008e-004	-1.112087e-002
1.097558593750008e-004	-1.085380e-002
1.140332031250008e-004	-1.055757e-002
1.353613281250010e-004	-9.242022e-003
1.398730468750011e-004	-8.978779e-003
1.400000000000000e-004	-8.971465e-003
