Freq.	V(n004)
1.00000000000000e+001	(1.20986377839345e+001dB,1.79948538397885e+002°)
1.25892541179417e+001	(1.20986539520847e+001dB,1.79935212198057e+002°)
1.58489319246111e+001	(1.20986795726283e+001dB,1.79918434030607e+002°)
1.99526231496888e+001	(1.20987201677866e+001dB,1.79897308625497e+002°)
2.51188643150958e+001	(1.20987844799956e+001dB,1.79870707445626e+002°)
3.16227766016838e+001	(1.20988863407558e+001dB,1.79837206840504e+002°)
3.98107170553497e+001	(1.20990476105228e+001dB,1.79795008755181e+002°)
5.01187233627272e+001	(1.20993027830046e+001dB,1.79741838073714e+002°)
6.30957344480194e+001	(1.20997061450052e+001dB,1.79674807790206e+002°)
7.94328234724282e+001	(1.21003427824921e+001dB,1.79590238313636e+002°)
1.00000000000000e+002	(1.21013451811378e+001dB,1.79483408755374e+002°)
1.25892541179417e+002	(1.21029174774607e+001dB,1.79348203395300e+002°)
1.58489319246111e+002	(1.21053689471607e+001dB,1.79176591837118e+002°)
1.99526231496888e+002	(1.21091555033353e+001dB,1.78957842818274e+002°)
2.51188643150958e+002	(1.21149195022284e+001dB,1.78677321387699e+002°)
3.16227766016838e+002	(1.21234985186255e+001dB,1.78314683232495e+002°)
3.98107170553498e+002	(1.21358382978370e+001dB,1.77841344941100e+002°)
5.01187233627273e+002	(1.21527039843151e+001dB,1.77217453002000e+002°)
6.30957344480194e+002	(1.21740914089902e+001dB,1.76389352354173e+002°)
7.94328234724282e+002	(1.21984008392967e+001dB,1.75289390095973e+002°)
1.00000000000000e+003	(1.22217612157286e+001dB,1.73839287303172e+002°)
1.25892541179417e+003	(1.22380323659882e+001dB,1.71954977163609e+002°)
1.58489319246111e+003	(1.22394677116721e+001dB,1.69547455002141e+002°)
1.99526231496888e+003	(1.22171378337690e+001dB,1.66516430386755e+002°)
2.51188643150958e+003	(1.21601230685508e+001dB,1.62740414647151e+002°)
3.16227766016838e+003	(1.20532858770392e+001dB,1.58070380447994e+002°)
3.98107170553498e+003	(1.18740725705386e+001dB,1.52332292916490e+002°)
5.01187233627273e+003	(1.15888958198939e+001dB,1.45341985345618e+002°)
6.30957344480194e+003	(1.11498405685786e+001dB,1.36936589399961e+002°)
7.94328234724283e+003	(1.04932561426228e+001dB,1.27026608517179e+002°)
1.00000000000000e+004	(9.54301776516043e+000dB,1.15665472771655e+002°)
1.25892541179417e+004	(8.22146313454289e+000dB,1.03114726094660e+002°)
1.58489319246112e+004	(6.46792145050089e+000dB,8.98610534165221e+001°)
1.99526231496888e+004	(4.25807927674887e+000dB,7.65448025530335e+001°)
2.51188643150958e+004	(1.61291693438363e+000dB,6.38109059659758e+001°)
3.16227766016839e+004	(-1.40897049247100e+000dB,5.21560935831147e+001°)
3.98107170553498e+004	(-4.73030333604355e+000dB,4.18494242594789e+001°)
5.01187233627273e+004	(-8.27403590062537e+000dB,3.29424902049614e+001°)
6.30957344480195e+004	(-1.19749681335255e+001dB,2.53311295221106e+001°)
7.94328234724283e+004	(-1.57835750408948e+001dB,1.88235470335446e+001°)
1.00000000000000e+005	(-1.96650428559769e+001dB,1.31910191978637e+001°)
